Ejecucion,Indice,Valor
1,1,1.5390625
1,2,1.8974609375
1,3,6.2265625
1,4,0.84033203125
1,5,9.609375
1,6,7.78125
1,7,7.92578125
1,8,4.3984375
1,9,8.28125
1,10,7.3671875
1,11,8.4140625
1,12,4.61328125
1,13,4.5234375
1,14,7.62890625
1,15,0.64208984375
1,16,8.859375
1,17,9.78125
1,18,5.7890625
1,19,2.42578125
1,20,1.904296875
1,21,8.71875
1,22,7.0078125
1,23,9.1328125
1,24,1.6923828125
1,25,0.37841796875
1,26,9.859375
1,27,8.65625
1,28,1.6845703125
1,29,4.77734375
1,30,2.458984375
1,31,6.48046875
1,32,7.6015625
1,33,2.076171875
1,34,2.267578125
1,35,0.018783569336
1,36,6.5390625
1,37,3.85546875
1,38,5.38671875
1,39,4.94921875
1,40,0.40600585938
1,41,6.140625
1,42,4.12109375
1,43,4.73828125
1,44,7.984375
1,45,5.1171875
1,46,4.93359375
1,47,1.76171875
1,48,7.859375
1,49,5.921875
1,50,8.3359375
1,51,4.296875
1,52,4.68359375
1,53,8.421875
1,54,1.14453125
1,55,7.15234375
1,56,8.703125
1,57,1.81640625
1,58,8.09375
1,59,8.6328125
1,60,6.06640625
1,61,6.51953125
1,62,5.34765625
1,63,3.53515625
1,64,2.119140625
1,65,3.337890625
1,66,5.40234375
1,67,5.3359375
1,68,5.7890625
1,69,0.15539550781
1,70,7.1328125
1,71,8.484375
1,72,0.59912109375
1,73,8.65625
1,74,6.85546875
1,75,4.76953125
1,76,1.0341796875
1,77,3.923828125
1,78,9.5703125
1,79,9.59375
1,80,6.91796875
1,81,2.1484375
1,82,0.564453125
1,83,2.40234375
1,84,1.2392578125
1,85,3.2890625
1,86,9.8671875
1,87,4.203125
1,88,2.076171875
1,89,9.15625
1,90,0.14489746094
1,91,1.853515625
1,92,5.2109375
1,93,7.5625
1,94,3.236328125
1,95,6.47265625
1,96,0.081604003906
1,97,2.47265625
1,98,6.1015625
1,99,7.0
1,100,7.43359375
1,101,5.7109375
1,102,2.064453125
1,103,7.76171875
1,104,2.7734375
1,105,3.0703125
1,106,0.8388671875
1,107,4.09765625
1,108,0.70068359375
1,109,0.83251953125
1,110,8.8125
1,111,4.08984375
1,112,5.92578125
1,113,9.5390625
1,114,1.4384765625
1,115,9.3671875
1,116,6.828125
1,117,6.16796875
1,118,4.99609375
1,119,3.033203125
1,120,0.8447265625
1,121,0.6884765625
1,122,1.025390625
1,123,7.734375
1,124,6.4453125
1,125,5.6640625
1,126,5.87109375
1,127,4.15234375
1,128,6.3203125
1,129,3.822265625
1,130,0.23095703125
1,131,6.62890625
1,132,8.2734375
1,133,5.953125
1,134,6.7265625
1,135,1.03515625
1,136,5.08984375
1,137,9.2578125
1,138,6.51171875
1,139,7.83984375
1,140,5.5546875
1,141,8.2109375
1,142,3.259765625
1,143,3.220703125
1,144,6.0546875
1,145,7.3359375
1,146,0.23413085938
1,147,3.34765625
1,148,6.765625
1,149,1.7705078125
1,150,8.2890625
1,151,1.060546875
1,152,4.52734375
1,153,9.4921875
1,154,7.3046875
1,155,3.99609375
1,156,0.83935546875
1,157,4.28125
1,158,4.57421875
1,159,3.6796875
1,160,4.546875
1,161,6.91796875
1,162,4.984375
1,163,3.287109375
1,164,9.5703125
1,165,5.23828125
1,166,7.86328125
1,167,1.2353515625
1,168,6.61328125
1,169,3.431640625
1,170,8.0625
1,171,6.7734375
1,172,9.640625
1,173,3.001953125
1,174,8.5625
1,175,4.84765625
1,176,7.69921875
1,177,7.890625
1,178,2.033203125
1,179,4.43359375
1,180,6.234375
1,181,9.4609375
1,182,5.96875
1,183,6.48828125
1,184,1.42578125
1,185,6.5
1,186,7.34765625
1,187,8.390625
1,188,4.328125
1,189,1.201171875
1,190,8.0703125
1,191,5.99609375
1,192,7.81640625
1,193,8.453125
1,194,5.06640625
1,195,1.4521484375
1,196,2.55859375
1,197,5.3984375
1,198,1.611328125
1,199,1.107421875
1,200,1.806640625
1,201,2.525390625
1,202,0.8779296875
1,203,6.140625
1,204,2.306640625
1,205,8.09375
1,206,3.392578125
1,207,6.15234375
1,208,7.98046875
1,209,1.056640625
1,210,7.5
1,211,4.34765625
1,212,3.423828125
1,213,8.578125
1,214,1.6328125
1,215,8.0703125
1,216,7.296875
1,217,2.595703125
1,218,1.5107421875
1,219,3.380859375
1,220,6.08203125
1,221,4.19921875
1,222,5.5703125
1,223,0.68017578125
1,224,4.9609375
1,225,6.6015625
1,226,4.24609375
1,227,2.515625
1,228,0.69677734375
1,229,2.703125
1,230,0.787109375
1,231,5.76953125
1,232,1.369140625
1,233,6.2578125
1,234,7.1015625
1,235,6.69921875
1,236,1.1142578125
1,237,2.65625
1,238,1.2470703125
1,239,0.23596191406
1,240,5.0703125
1,241,8.671875
1,242,7.78515625
1,243,6.98828125
1,244,2.28125
1,245,0.81298828125
1,246,0.46264648438
1,247,1.1513671875
1,248,4.94921875
1,249,4.7109375
1,250,7.046875
1,251,5.23046875
1,252,2.306640625
1,253,4.84375
1,254,1.22265625
1,255,9.765625
1,256,1.9169921875
1,257,5.61328125
1,258,9.609375
1,259,8.1875
1,260,2.2890625
1,261,4.9609375
1,262,5.58203125
1,263,4.58203125
1,264,3.5234375
1,265,2.578125
1,266,0.70654296875
1,267,8.7265625
1,268,5.69921875
1,269,6.56640625
1,270,8.65625
1,271,3.216796875
1,272,4.7578125
