Ejecucion,Indice,Valor
1,1,4.75
1,2,4.75
1,3,0.3359375
1,4,9.5625
1,5,9.5625
1,6,1.5390625
1,7,2.609375
1,8,1.8984375
1,9,3.609375
1,10,6.21875
1,11,1.671875
1,12,0.83984375
1,13,5.90625
1,14,9.625
1,15,2.09375
1,16,7.78125
1,17,4.96875
1,18,7.9375
1,19,9.4375
1,20,4.40625
1,21,5.03125
1,22,8.25
1,23,9.0
1,24,7.375
1,25,2.4375
1,26,8.4375
1,27,9.625
1,28,4.625
1,29,2.890625
1,30,4.53125
1,31,0.3046875
1,32,7.625
1,33,9.25
1,34,0.640625
1,35,7.15625
1,36,8.875
1,37,2.1875
1,38,9.75
1,39,0.7578125
1,40,5.78125
1,41,6.0
1,42,2.421875
1,43,6.625
1,44,1.90625
1,45,2.03125
1,46,8.75
1,47,9.6875
1,48,7.0
1,49,6.65625
1,50,9.125
1,51,1.40625
1,52,1.6953125
1,53,7.40625
1,54,0.37890625
1,55,9.0625
1,56,9.875
1,57,8.8125
1,58,8.6875
1,59,4.46875
1,60,1.6875
1,61,3.1875
1,62,4.78125
1,63,9.3125
1,64,2.453125
1,65,5.40625
1,66,6.46875
1,67,1.3203125
1,68,7.59375
1,69,6.25
1,70,2.078125
1,71,3.390625
1,72,2.265625
1,73,4.5
1,74,0.018798828125
1,75,4.15625
1,76,6.53125
1,77,8.75
1,78,3.859375
1,79,3.546875
1,80,5.375
1,81,2.984375
1,82,4.9375
1,83,7.09375
1,84,0.40625
1,85,5.34375
1,86,6.15625
1,87,0.265625
1,88,4.125
1,89,4.8125
1,90,4.75
1,91,5.8125
1,92,8.0
1,93,9.5
1,94,5.125
1,95,0.443359375
1,96,4.9375
1,97,1.6015625
1,98,1.765625
1,99,2.53125
1,100,7.875
1,101,3.84375
1,102,5.9375
1,103,0.1279296875
1,104,8.3125
1,105,5.9375
1,106,4.3125
1,107,4.875
1,108,4.6875
1,109,8.125
1,110,8.4375
1,111,0.0712890625
1,112,1.1484375
1,113,3.375
1,114,7.15625
1,115,1.546875
1,116,8.6875
1,117,3.296875
1,118,1.8125
1,119,2.828125
1,120,8.0625
1,121,6.5625
1,122,8.625
1,123,6.0625
1,124,6.0625
1,125,3.75
1,126,6.53125
1,127,1.0
1,128,5.34375
1,129,8.3125
1,130,3.53125
1,131,3.203125
1,132,2.125
1,133,9.4375
1,134,3.34375
1,135,0.45703125
1,136,5.40625
1,137,7.625
1,138,5.34375
1,139,0.083984375
1,140,5.78125
1,141,3.75
1,142,0.1552734375
1,143,6.9375
1,144,7.125
1,145,7.3125
1,146,8.5
1,147,5.84375
1,148,0.59765625
1,149,0.30078125
1,150,8.625
1,151,8.6875
1,152,6.84375
1,153,7.28125
1,154,4.78125
1,155,2.921875
1,156,1.03125
1,157,1.2890625
1,158,3.921875
1,159,6.375
1,160,9.5625
1,161,7.46875
1,162,9.5625
1,163,1.6875
1,164,6.90625
1,165,2.921875
1,166,2.140625
1,167,2.3125
1,168,0.56640625
1,169,7.46875
1,170,2.40625
1,171,6.34375
1,172,1.2421875
1,173,2.5625
1,174,3.28125
1,175,8.375
1,176,9.875
1,177,1.7734375
1,178,4.1875
1,179,0.462890625
1,180,2.078125
1,181,2.859375
1,182,9.125
1,183,8.9375
1,184,0.14453125
1,185,3.921875
1,186,1.8515625
1,187,1.1796875
1,188,5.21875
1,189,5.78125
1,190,7.5625
1,191,4.78125
1,192,3.234375
1,193,7.15625
1,194,6.46875
1,195,0.154296875
1,196,0.08154296875
1,197,8.625
1,198,2.46875
1,199,0.64453125
1,200,6.09375
1,201,4.875
1,202,7.0
1,203,7.34375
1,204,7.4375
1,205,0.2890625
1,206,5.71875
1,207,7.3125
1,208,2.0625
1,209,9.9375
1,210,7.75
1,211,4.125
1,212,2.78125
1,213,6.90625
1,214,3.0625
1,215,2.921875
1,216,0.83984375
1,217,4.9375
1,218,4.09375
1,219,6.0625
1,220,0.69921875
1,221,1.65625
1,222,0.83203125
1,223,3.9375
1,224,8.8125
1,225,7.3125
1,226,4.09375
1,227,8.875
1,228,5.9375
1,229,6.5625
1,230,9.5625
1,231,2.03125
1,232,1.4375
1,233,6.53125
1,234,9.375
1,235,8.875
1,236,6.84375
1,237,5.09375
1,238,6.15625
1,239,8.875
1,240,5.0
1,241,3.921875
1,242,3.03125
1,243,7.78125
1,244,0.84375
1,245,6.09375
1,246,0.6875
1,247,1.6796875
1,248,1.0234375
1,249,4.78125
1,250,7.71875
1,251,1.7265625
1,252,6.4375
1,253,8.5625
1,254,5.65625
1,255,5.25
1,256,5.875
1,257,9.75
1,258,4.15625
1,259,1.796875
1,260,6.3125
1,261,3.6875
1,262,3.828125
1,263,7.75
1,264,0.2314453125
1,265,3.1875
1,266,6.625
1,267,7.0625
1,268,8.25
1,269,2.796875
1,270,5.96875
1,271,3.265625
1,272,6.71875
1,273,9.0
1,274,1.0390625
1,275,7.5625
1,276,5.09375
1,277,1.7265625
1,278,9.25
1,279,6.125
1,280,6.5
1,281,7.0
1,282,7.84375
1,283,2.953125
1,284,5.5625
1,285,3.5
1,286,8.1875
1,287,1.421875
1,288,3.265625
1,289,2.359375
1,290,3.21875
1,291,9.5625
1,292,6.0625
1,293,7.03125
1,294,7.34375
1,295,6.28125
1,296,0.234375
1,297,3.96875
1,298,3.34375
1,299,8.5
1,300,6.75
1,301,9.3125
1,302,1.7734375
1,303,3.484375
1,304,8.3125
1,305,2.8125
1,306,1.0625
1,307,3.375
1,308,4.53125
1,309,0.314453125
1,310,9.5
1,311,1.0390625
1,312,7.3125
1,313,7.34375
1,314,4.0
1,315,2.859375
1,316,0.83984375
1,317,2.203125
1,318,4.28125
1,319,4.09375
1,320,4.5625
1,321,7.5
1,322,3.6875
1,323,0.6328125
1,324,4.5625
1,325,1.015625
1,326,6.90625
1,327,4.78125
1,328,4.96875
1,329,0.267578125
1,330,3.28125
1,331,1.75
1,332,9.5625
1,333,5.0625
1,334,5.25
1,335,7.84375
1,336,7.875
1,337,6.3125
1,338,1.234375
1,339,2.390625
1,340,6.625
1,341,0.7265625
1,342,3.4375
1,343,3.921875
1,344,8.0625
1,345,7.4375
1,346,6.78125
1,347,8.875
1,348,9.625
1,349,1.0546875
1,350,3.0
1,351,4.21875
1,352,8.5625
1,353,6.6875
1,354,4.84375
1,355,3.109375
1,356,7.6875
1,357,1.765625
1,358,7.90625
1,359,2.6875
1,360,2.03125
1,361,1.1796875
1,362,4.4375
1,363,1.6015625
1,364,6.25
1,365,9.6875
1,366,9.4375
1,367,4.09375
1,368,5.96875
1,369,0.6953125
1,370,6.5
1,371,2.578125
1,372,1.421875
1,373,9.9375
1,374,6.5
1,375,9.5
1,376,7.34375
1,377,3.265625
1,378,8.375
1,379,7.0
1,380,4.34375
1,381,1.390625
1,382,1.203125
1,383,2.890625
1,384,8.0625
1,385,6.0625
1,386,6.0
1,387,5.78125
1,388,7.8125
1,389,3.890625
1,390,8.4375
1,391,9.875
1,392,5.0625
1,393,2.890625
1,394,1.453125
1,395,1.296875
1,396,2.5625
1,397,0.9140625
1,398,5.40625
1,399,8.5
1,400,1.609375
1,401,1.8828125
1,402,1.109375
1,403,3.03125
1,404,1.8046875
1,405,7.59375
1,406,2.53125
1,407,9.125
1,408,0.87890625
1,409,0.9140625
1,410,6.15625
1,411,5.21875
1,412,2.3125
1,413,7.34375
1,414,8.125
1,415,0.380859375
1,416,3.390625
1,417,4.09375
1,418,6.15625
1,419,1.2109375
1,420,7.96875
1,421,4.625
1,422,1.0546875
1,423,3.046875
1,424,7.5
1,425,2.515625
1,426,4.34375
1,427,0.055908203125
1,428,3.421875
1,429,9.75
1,430,8.5625
1,431,5.03125
1,432,1.6328125
1,433,9.6875
1,434,8.0625
1,435,3.4375
1,436,7.28125
1,437,0.59765625
1,438,2.59375
1,439,8.1875
1,440,1.5078125
1,441,8.75
1,442,3.375
1,443,3.8125
1,444,6.09375
1,445,1.4765625
1,446,4.1875
1,447,9.5
1,448,5.5625
1,449,0.3515625
1,450,0.6796875
1,451,3.546875
1,452,4.96875
1,453,1.734375
1,454,6.59375
1,455,2.453125
1,456,4.25
1,457,0.94921875
1,458,2.515625
1,459,7.65625
1,460,0.6953125
1,461,1.09375
1,462,2.703125
1,463,2.328125
1,464,0.7890625
1,465,0.7734375
1,466,5.78125
1,467,8.0625
1,468,1.3671875
1,469,8.375
1,470,6.25
1,471,2.875
1,472,7.09375
1,473,9.625
1,474,6.6875
1,475,3.1875
1,476,1.1171875
1,477,0.89453125
1,478,2.65625
1,479,6.6875
1,480,1.25
1,481,3.328125
1,482,0.236328125
1,483,6.21875
1,484,5.0625
1,485,6.84375
1,486,8.6875
1,487,9.3125
1,488,7.78125
1,489,1.1796875
1,490,7.0
1,491,8.5
1,492,2.28125
1,493,9.6875
1,494,0.8125
1,495,3.0625
1,496,0.462890625
1,497,6.59375
1,498,1.1484375
1,499,1.8359375
1,500,4.9375
1,501,7.40625
1,502,4.71875
1,503,2.046875
1,504,7.03125
1,505,1.4140625
1,506,5.21875
1,507,8.1875
1,508,2.3125
1,509,7.875
1,510,4.84375
1,511,3.546875
1,512,1.2265625
1,513,5.09375
1,514,9.75
1,515,6.28125
1,516,1.9140625
1,517,8.4375
1,518,5.625
1,519,9.6875
1,520,9.625
1,521,2.59375
1,522,8.1875
1,523,1.890625
1,524,2.28125
1,525,9.0
1,526,4.96875
1,527,2.75
1,528,5.59375
1,529,6.125
1,530,4.59375
1,531,0.53125
1,532,3.515625
1,533,9.3125
1,534,2.578125
1,535,0.5703125
1,536,0.70703125
1,537,7.8125
1,538,8.75
1,539,3.015625
1,540,5.6875
1,541,3.578125
1,542,6.5625
1,543,6.90625
1,544,8.625
1,545,6.3125
1,546,3.21875
1,547,0.57421875
1,548,4.75
1,549,8.8125
1,550,0.27734375
1,551,4.375
1,552,1.4296875
1,553,8.4375
1,554,6.25
1,555,3.71875
1,556,7.46875
1,557,1.2265625
1,558,6.46875
1,559,3.046875
1,560,7.34375
1,561,1.0546875
1,562,3.578125
1,563,0.86328125
1,564,0.349609375
1,565,6.15625
1,566,1.4296875
1,567,1.0546875
1,568,3.96875
1,569,0.1630859375
1,570,4.0625
1,571,9.6875
1,572,3.734375
1,573,0.6328125
1,574,6.59375
1,575,2.390625
1,576,6.96875
