Ejecucion,Indice,Valor
1,1,1.5390625
1,2,1.8984375
1,3,6.21875
1,4,0.83984375
1,5,9.625
1,6,7.78125
1,7,7.9375
1,8,4.40625
1,9,8.25
1,10,7.375
1,11,8.4375
1,12,4.625
1,13,4.53125
1,14,7.625
1,15,0.640625
1,16,8.875
1,17,9.75
1,18,5.78125
1,19,2.421875
1,20,1.90625
1,21,8.75
1,22,7.0
1,23,9.125
1,24,1.6953125
1,25,0.37890625
1,26,9.875
1,27,8.6875
1,28,1.6875
1,29,4.78125
1,30,2.453125
1,31,6.46875
1,32,7.59375
1,33,2.078125
1,34,2.265625
1,35,0.018798828125
1,36,6.53125
1,37,3.859375
1,38,5.375
1,39,4.9375
1,40,0.40625
1,41,6.15625
1,42,4.125
1,43,4.75
1,44,8.0
1,45,5.125
1,46,4.9375
1,47,1.765625
1,48,7.875
1,49,5.9375
1,50,8.3125
1,51,4.3125
1,52,4.6875
1,53,8.4375
1,54,1.1484375
1,55,7.15625
1,56,8.6875
1,57,1.8125
1,58,8.0625
1,59,8.625
1,60,6.0625
1,61,6.53125
1,62,5.34375
1,63,3.53125
1,64,2.125
1,65,3.34375
1,66,5.40625
1,67,5.34375
1,68,5.78125
1,69,0.1552734375
1,70,7.125
1,71,8.5
1,72,0.59765625
1,73,8.625
1,74,6.84375
1,75,4.78125
1,76,1.03125
1,77,3.921875
1,78,9.5625
1,79,9.5625
1,80,6.90625
1,81,2.140625
1,82,0.56640625
1,83,2.40625
1,84,1.2421875
1,85,3.28125
1,86,9.875
1,87,4.1875
1,88,2.078125
1,89,9.125
1,90,0.14453125
1,91,1.8515625
1,92,5.21875
1,93,7.5625
1,94,3.234375
1,95,6.46875
1,96,0.08154296875
1,97,2.46875
1,98,6.09375
1,99,7.0
1,100,7.4375
1,101,5.71875
1,102,2.0625
1,103,7.75
1,104,2.78125
1,105,3.0625
1,106,0.83984375
1,107,4.09375
1,108,0.69921875
1,109,0.83203125
1,110,8.8125
1,111,4.09375
1,112,5.9375
1,113,9.5625
1,114,1.4375
1,115,9.375
1,116,6.84375
1,117,6.15625
1,118,5.0
1,119,3.03125
1,120,0.84375
1,121,0.6875
1,122,1.0234375
1,123,7.71875
1,124,6.4375
1,125,5.65625
1,126,5.875
1,127,4.15625
1,128,6.3125
1,129,3.828125
1,130,0.2314453125
1,131,6.625
1,132,8.25
1,133,5.96875
1,134,6.71875
1,135,1.0390625
1,136,5.09375
1,137,9.25
1,138,6.5
1,139,7.84375
1,140,5.5625
1,141,8.1875
1,142,3.265625
1,143,3.21875
1,144,6.0625
1,145,7.34375
1,146,0.234375
1,147,3.34375
1,148,6.75
1,149,1.7734375
1,150,8.3125
1,151,1.0625
