Ejecucion,Indice,Valor
1,1,1.5391706228
1,2,1.8974065781
1,3,6.2257995605
1,4,0.84021532536
1,5,9.6130275726
1,6,7.7812681198
1,7,7.9241709709
1,8,4.3971619606
1,9,8.2812013626
1,10,7.3678636551
1,11,8.4150009155
1,12,4.6118817329
1,13,4.5252099037
1,14,7.6284675598
1,15,0.64212447405
1,16,8.859418869
1,17,9.7797117233
1,18,5.7890486717
1,19,2.4255099297
1,20,1.9039540291
1,21,8.722448349
1,22,7.0067734718
1,23,9.1345119476
1,24,1.6924610138
1,25,0.37849065661
1,26,9.8596324921
1,27,8.659368515
1,28,1.6840846539
1,29,4.7770466805
1,30,2.458974123
1,31,6.4814300537
1,32,7.6004667282
1,33,2.0752177238
1,34,2.2666523457
1,35,0.018779557198
1,36,6.5392656326
1,37,3.8558287621
1,38,5.3878474236
1,39,4.9499745369
1,40,0.40605390072
1,41,6.1406331062
1,42,4.1219568253
1,43,4.7372016907
1,44,7.9845805168
1,45,5.1185936928
1,46,4.9334197044
1,47,1.7619476318
1,48,7.8611655235
1,49,5.9234018326
1,50,8.3378925323
1,51,4.2984242439
1,52,4.683409214
1,53,8.4231977463
1,54,1.1445935965
1,55,7.1515650749
1,56,8.7016372681
1,57,1.8163342476
1,58,8.0921993256
1,59,8.6296358109
1,60,6.0677843094
1,61,6.5203351974
1,62,5.3482527733
1,63,3.5350904465
1,64,2.119448185
1,65,3.3372364044
1,66,5.4006729126
1,67,5.3344993591
1,68,5.7899141312
1,69,0.15533848107
1,70,7.1308698654
1,71,8.4851551056
1,72,0.59910142422
1,73,8.6561012268
1,74,6.8550252914
1,75,4.768081665
1,76,1.033965826
1,77,3.9240143299
1,78,9.5706996918
1,79,9.5916376114
1,80,6.9175963402
1,81,2.1474893093
1,82,0.56453466415
1,83,2.4023513794
1,84,1.2396863699
1,85,3.2889561653
1,86,9.8645935059
1,87,4.2030630112
1,88,2.0756003857
1,89,9.1549959183
1,90,0.14490066469
1,91,1.8534357548
1,92,5.2114944458
1,93,7.5610852242
1,94,3.2365546227
1,95,6.4723424911
1,96,0.081596337259
1,97,2.4724202156
1,98,6.1018209457
1,99,7.000579834
1,100,7.4324612617
1,101,5.7120633125
1,102,2.0636470318
1,103,7.7607493401
1,104,2.7742900848
1,105,3.069873333
1,106,0.83882278204
1,107,4.0980572701
1,108,0.70075899363
1,109,0.83251214027
1,110,8.8118658066
1,111,4.0914645195
1,112,5.9246869087
1,113,9.5395927429
1,114,1.4386563301
1,115,9.3680152893
1,116,6.8297080994
1,117,6.1681723595
1,118,4.9952054024
1,119,3.032602787
1,120,0.84466671944
1,121,0.68868649006
1,122,1.0257850885
1,123,7.7338070869
1,124,6.4458866119
1,125,5.66385746
1,126,5.8711743355
1,127,4.1512136459
1,128,6.3192071915
1,129,3.8223693371
1,130,0.23097889125
1,131,6.6289806366
1,132,8.2704639435
1,133,5.9540419579
1,134,6.7260746956
1,135,1.0351648331
1,136,5.0891208649
1,137,9.2542304993
1,138,6.5105957985
1,139,7.8414506912
1,140,5.5543570518
1,141,8.2142343521
1,142,3.2606303692
1,143,3.2213923931
1,144,6.0562543869
1,145,7.3376998901
1,146,0.23414638638
1,147,3.3479208946
1,148,6.7638344765
1,149,1.7702795267
