Ejecucion,Indice,Valor
1,1,4.73828125
1,2,4.75
1,3,0.33666992188
1,4,9.5390625
1,5,9.5859375
1,6,1.5390625
1,7,2.611328125
1,8,1.8974609375
1,9,3.607421875
1,10,6.2265625
1,11,1.6689453125
1,12,0.84033203125
1,13,5.8984375
1,14,9.609375
1,15,2.09375
1,16,7.78125
1,17,4.96875
1,18,7.92578125
1,19,9.453125
1,20,4.3984375
1,21,5.046875
1,22,8.28125
1,23,8.9765625
1,24,7.3671875
1,25,2.443359375
1,26,8.4140625
1,27,9.6015625
1,28,4.61328125
1,29,2.890625
1,30,4.5234375
1,31,0.30541992188
1,32,7.62890625
1,33,9.2734375
1,34,0.64208984375
1,35,7.16796875
1,36,8.859375
1,37,2.181640625
1,38,9.78125
1,39,0.7568359375
1,40,5.7890625
1,41,6.00390625
1,42,2.42578125
1,43,6.62890625
1,44,1.904296875
1,45,2.0390625
1,46,8.71875
1,47,9.6875
1,48,7.0078125
1,49,6.6484375
1,50,9.1328125
1,51,1.404296875
1,52,1.6923828125
1,53,7.4140625
1,54,0.37841796875
1,55,9.0625
1,56,9.859375
1,57,8.796875
1,58,8.65625
1,59,4.47265625
1,60,1.6845703125
1,61,3.185546875
1,62,4.77734375
1,63,9.3125
1,64,2.458984375
1,65,5.41796875
1,66,6.48046875
1,67,1.318359375
1,68,7.6015625
1,69,6.26171875
1,70,2.076171875
1,71,3.388671875
1,72,2.267578125
1,73,4.5
1,74,0.018783569336
1,75,4.171875
1,76,6.5390625
1,77,8.7421875
1,78,3.85546875
1,79,3.546875
1,80,5.38671875
1,81,2.990234375
1,82,4.94921875
1,83,7.08203125
1,84,0.40600585938
1,85,5.328125
1,86,6.140625
1,87,0.265625
1,88,4.12109375
1,89,4.80078125
1,90,4.73828125
1,91,5.8046875
1,92,7.984375
1,93,9.515625
1,94,5.1171875
1,95,0.44360351562
1,96,4.93359375
1,97,1.599609375
1,98,1.76171875
1,99,2.533203125
1,100,7.859375
1,101,3.837890625
1,102,5.921875
1,103,0.12780761719
1,104,8.3359375
1,105,5.94140625
1,106,4.296875
1,107,4.87890625
1,108,4.68359375
1,109,8.15625
1,110,8.421875
1,111,0.071228027344
1,112,1.14453125
1,113,3.373046875
1,114,7.15234375
1,115,1.55078125
1,116,8.703125
1,117,3.29296875
1,118,1.81640625
1,119,2.82421875
1,120,8.09375
1,121,6.5546875
1,122,8.6328125
1,123,6.078125
1,124,6.06640625
1,125,3.748046875
1,126,6.51953125
1,127,1.0009765625
1,128,5.34765625
1,129,8.28125
1,130,3.53515625
1,131,3.208984375
1,132,2.119140625
1,133,9.4609375
1,134,3.337890625
1,135,0.45727539062
1,136,5.40234375
1,137,7.63671875
1,138,5.3359375
1,139,0.084106445312
1,140,5.7890625
1,141,3.7578125
1,142,0.15539550781
1,143,6.93359375
1,144,7.1328125
1,145,7.30859375
1,146,8.484375
1,147,5.83203125
1,148,0.59912109375
1,149,0.30151367188
1,150,8.65625
1,151,8.6875
1,152,6.85546875
1,153,7.28515625
1,154,4.76953125
1,155,2.921875
1,156,1.0341796875
1,157,1.2880859375
1,158,3.923828125
1,159,6.3828125
1,160,9.5703125
1,161,7.4609375
1,162,9.59375
1,163,1.6904296875
1,164,6.91796875
1,165,2.9296875
1,166,2.1484375
1,167,2.318359375
1,168,0.564453125
1,169,7.48046875
1,170,2.40234375
1,171,6.35546875
1,172,1.2392578125
1,173,2.55859375
1,174,3.2890625
1,175,8.3671875
1,176,9.8671875
1,177,1.7744140625
1,178,4.203125
1,179,0.46362304688
1,180,2.076171875
1,181,2.859375
1,182,9.15625
1,183,8.9296875
1,184,0.14489746094
1,185,3.923828125
1,186,1.853515625
1,187,1.1787109375
1,188,5.2109375
1,189,5.77734375
1,190,7.5625
1,191,4.78125
1,192,3.236328125
1,193,7.15234375
1,194,6.47265625
1,195,0.15417480469
1,196,0.081604003906
1,197,8.6171875
1,198,2.47265625
1,199,0.64599609375
1,200,6.1015625
1,201,4.875
1,202,7.0
1,203,7.33984375
1,204,7.43359375
1,205,0.28955078125
1,206,5.7109375
1,207,7.296875
1,208,2.064453125
1,209,9.9140625
1,210,7.76171875
1,211,4.140625
1,212,2.7734375
1,213,6.9140625
1,214,3.0703125
1,215,2.919921875
1,216,0.8388671875
1,217,4.921875
1,218,4.09765625
1,219,6.05078125
1,220,0.70068359375
1,221,1.6591796875
1,222,0.83251953125
1,223,3.9375
