Ejecucion,Indice,Valor
1,1,4.7378740311
1,2,4.7491850853
1,3,0.33659252524
1,4,9.5404109955
1,5,9.5850229263
1,6,1.5391706228
1,7,2.6108336449
1,8,1.8974065781
1,9,3.6077537537
1,10,6.2257995605
1,11,1.6686849594
1,12,0.84021532536
1,13,5.898443222
1,14,9.6130275726
1,15,2.0931842327
1,16,7.7812681198
1,17,4.9682359695
1,18,7.9241709709
1,19,9.4492893219
1,20,4.3971619606
1,21,5.0458421707
1,22,8.2812013626
1,23,8.9745550156
1,24,7.3678636551
1,25,2.4439196587
1,26,8.4150009155
1,27,9.5990447998
1,28,4.6118817329
1,29,2.8905930519
1,30,4.5252099037
1,31,0.3055319488
1,32,7.6284675598
1,33,9.274394989
1,34,0.64212447405
1,35,7.1688785553
1,36,8.859418869
1,37,2.1812951565
1,38,9.7797117233
1,39,0.75682508945
1,40,5.7890486717
1,41,6.005510807
1,42,2.4255099297
1,43,6.6292643547
1,44,1.9039540291
1,45,2.0385377407
1,46,8.722448349
1,47,9.6852226257
1,48,7.0067734718
1,49,6.6466193199
1,50,9.1345119476
1,51,1.4039355516
1,52,1.6924610138
1,53,7.4157137871
1,54,0.37849065661
1,55,9.0603246689
1,56,9.8596324921
1,57,8.7934913635
1,58,8.659368515
1,59,4.4715147018
1,60,1.6840846539
1,61,3.1845788956
1,62,4.7770466805
1,63,9.3125524521
1,64,2.458974123
1,65,5.4191713333
1,66,6.4814300537
1,67,1.3183926344
1,68,7.6004667282
1,69,6.261141777
1,70,2.0752177238
1,71,3.3895153999
1,72,2.2666523457
1,73,4.5007276535
1,74,0.018779557198
1,75,4.1706066132
1,76,6.5392656326
1,77,8.7412281036
1,78,3.8558287621
1,79,3.5460391045
1,80,5.3878474236
1,81,2.9903407097
1,82,4.9499745369
1,83,7.0803079605
1,84,0.40605390072
1,85,5.3284649849
1,86,6.1406331062
1,87,0.26568689942
1,88,4.1219568253
1,89,4.8000016212
1,90,4.7372016907
1,91,5.8060412407
1,92,7.9845805168
1,93,9.5142478943
1,94,5.1185936928
1,95,0.44355484843
1,96,4.9334197044
1,97,1.6000237465
1,98,1.7619476318
1,99,2.5338861942
1,100,7.8611655235
1,101,3.8371653557
1,102,5.9234018326
1,103,0.1278180033
1,104,8.3378925323
1,105,5.9421806335
1,106,4.2984242439
1,107,4.877158165
