Ejecucion,Indice,Valor
1,1,4.75
1,2,0.3359375
1,3,9.5625
1,4,9.5625
1,5,1.5390625
1,6,2.609375
1,7,1.8984375
1,8,3.609375
1,9,6.21875
1,10,1.671875
1,11,0.83984375
1,12,5.90625
1,13,9.625
1,14,2.09375
1,15,7.78125
1,16,4.96875
1,17,7.9375
1,18,9.4375
1,19,4.40625
1,20,5.03125
1,21,8.25
1,22,9.0
1,23,7.375
1,24,2.4375
1,25,8.4375
1,26,9.625
1,27,4.625
1,28,2.890625
1,29,4.53125
1,30,0.3046875
1,31,7.625
1,32,9.25
1,33,0.640625
1,34,7.15625
1,35,8.875
1,36,2.1875
1,37,9.75
1,38,0.7578125
1,39,5.78125
1,40,6.0
1,41,2.421875
1,42,6.625
1,43,1.90625
1,44,2.03125
1,45,8.75
1,46,9.6875
1,47,7.0
1,48,6.65625
1,49,9.125
1,50,1.40625
1,51,1.6953125
1,52,7.40625
1,53,0.37890625
1,54,9.0625
1,55,9.875
1,56,8.8125
1,57,8.6875
1,58,4.46875
1,59,1.6875
1,60,3.1875
1,61,4.78125
1,62,9.3125
1,63,2.453125
1,64,5.40625
1,65,6.46875
1,66,1.3203125
1,67,7.59375
1,68,6.25
1,69,2.078125
1,70,3.390625
1,71,2.265625
1,72,4.5
1,73,0.018798828125
1,74,4.15625
1,75,6.53125
1,76,8.75
1,77,3.859375
1,78,3.546875
1,79,5.375
1,80,2.984375
1,81,4.9375
1,82,7.09375
1,83,0.40625
1,84,5.34375
1,85,6.15625
1,86,0.265625
1,87,4.125
1,88,4.8125
1,89,4.75
1,90,5.8125
1,91,8.0
1,92,9.5
1,93,5.125
1,94,0.443359375
1,95,4.9375
1,96,1.6015625
1,97,1.765625
1,98,2.53125
1,99,7.875
1,100,3.84375
1,101,5.9375
1,102,0.1279296875
1,103,8.3125
1,104,5.9375
1,105,4.3125
1,106,4.875
1,107,4.6875
1,108,8.125
1,109,8.4375
1,110,0.0712890625
1,111,1.1484375
1,112,3.375
1,113,7.15625
1,114,1.546875
1,115,8.6875
1,116,3.296875
1,117,1.8125
1,118,2.828125
1,119,8.0625
1,120,6.5625
1,121,8.625
1,122,6.0625
1,123,6.0625
1,124,3.75
1,125,6.53125
1,126,1.0
1,127,5.34375
1,128,8.3125
1,129,3.53125
1,130,3.203125
1,131,2.125
1,132,9.4375
1,133,3.34375
1,134,0.45703125
1,135,5.40625
1,136,7.625
1,137,5.34375
1,138,0.083984375
1,139,5.78125
1,140,3.75
1,141,0.1552734375
1,142,6.9375
1,143,7.125
1,144,7.3125
1,145,8.5
1,146,5.84375
1,147,0.59765625
