Ejecucion,Indice,Valor
1,1,4.75
1,2,0.33666992188
1,3,9.5390625
1,4,9.5859375
1,5,1.5390625
1,6,2.611328125
1,7,1.8974609375
1,8,3.607421875
1,9,6.2265625
1,10,1.6689453125
1,11,0.84033203125
1,12,5.8984375
1,13,9.609375
1,14,2.09375
1,15,7.78125
1,16,4.96875
1,17,7.92578125
1,18,9.453125
1,19,4.3984375
1,20,5.046875
1,21,8.28125
1,22,8.9765625
1,23,7.3671875
1,24,2.443359375
1,25,8.4140625
1,26,9.6015625
1,27,4.61328125
1,28,2.890625
1,29,4.5234375
1,30,0.30541992188
1,31,7.62890625
1,32,9.2734375
1,33,0.64208984375
1,34,7.16796875
1,35,8.859375
1,36,2.181640625
1,37,9.78125
1,38,0.7568359375
1,39,5.7890625
1,40,6.00390625
1,41,2.42578125
1,42,6.62890625
1,43,1.904296875
1,44,2.0390625
1,45,8.71875
1,46,9.6875
1,47,7.0078125
1,48,6.6484375
1,49,9.1328125
1,50,1.404296875
1,51,1.6923828125
1,52,7.4140625
1,53,0.37841796875
1,54,9.0625
1,55,9.859375
1,56,8.796875
1,57,8.65625
1,58,4.47265625
1,59,1.6845703125
1,60,3.185546875
1,61,4.77734375
1,62,9.3125
1,63,2.458984375
1,64,5.41796875
1,65,6.48046875
1,66,1.318359375
1,67,7.6015625
1,68,6.26171875
1,69,2.076171875
1,70,3.388671875
1,71,2.267578125
1,72,4.5
1,73,0.018783569336
1,74,4.171875
1,75,6.5390625
1,76,8.7421875
1,77,3.85546875
1,78,3.546875
1,79,5.38671875
1,80,2.990234375
1,81,4.94921875
1,82,7.08203125
1,83,0.40600585938
1,84,5.328125
1,85,6.140625
1,86,0.265625
1,87,4.12109375
1,88,4.80078125
1,89,4.73828125
1,90,5.8046875
1,91,7.984375
1,92,9.515625
1,93,5.1171875
1,94,0.44360351562
1,95,4.93359375
1,96,1.599609375
1,97,1.76171875
1,98,2.533203125
1,99,7.859375
1,100,3.837890625
1,101,5.921875
1,102,0.12780761719
1,103,8.3359375
1,104,5.94140625
1,105,4.296875
1,106,4.87890625
1,107,4.68359375
1,108,8.15625
1,109,8.421875
1,110,0.071228027344
1,111,1.14453125
1,112,3.373046875
1,113,7.15234375
1,114,1.55078125
1,115,8.703125
1,116,3.29296875
1,117,1.81640625
1,118,2.82421875
1,119,8.09375
1,120,6.5546875
1,121,8.6328125
1,122,6.078125
1,123,6.06640625
1,124,3.748046875
1,125,6.51953125
1,126,1.0009765625
1,127,5.34765625
1,128,8.28125
1,129,3.53515625
1,130,3.208984375
1,131,2.119140625
1,132,9.4609375
1,133,3.337890625
1,134,0.45727539062
1,135,5.40234375
1,136,7.63671875
1,137,5.3359375
1,138,0.084106445312
1,139,5.7890625
1,140,3.7578125
1,141,0.15539550781
1,142,6.93359375
1,143,7.1328125
1,144,7.30859375
1,145,8.484375
1,146,5.83203125
1,147,0.59912109375
1,148,0.30151367188
1,149,8.65625
1,150,8.6875
1,151,6.85546875
1,152,7.28515625
1,153,4.76953125
1,154,2.921875
1,155,1.0341796875
1,156,1.2880859375
1,157,3.923828125
1,158,6.3828125
1,159,9.5703125
1,160,7.4609375
1,161,9.59375
1,162,1.6904296875
1,163,6.91796875
1,164,2.9296875
1,165,2.1484375
1,166,2.318359375
1,167,0.564453125
1,168,7.48046875
1,169,2.40234375
1,170,6.35546875
