Ejecucion,Indice,Valor
1,1,4.7491850853
1,2,0.33659252524
1,3,9.5404109955
1,4,9.5850229263
1,5,1.5391706228
1,6,2.6108336449
1,7,1.8974065781
1,8,3.6077537537
1,9,6.2257995605
1,10,1.6686849594
1,11,0.84021532536
1,12,5.898443222
1,13,9.6130275726
1,14,2.0931842327
1,15,7.7812681198
1,16,4.9682359695
1,17,7.9241709709
1,18,9.4492893219
1,19,4.3971619606
1,20,5.0458421707
1,21,8.2812013626
1,22,8.9745550156
1,23,7.3678636551
1,24,2.4439196587
1,25,8.4150009155
1,26,9.5990447998
1,27,4.6118817329
1,28,2.8905930519
1,29,4.5252099037
1,30,0.3055319488
1,31,7.6284675598
1,32,9.274394989
1,33,0.64212447405
1,34,7.1688785553
1,35,8.859418869
1,36,2.1812951565
1,37,9.7797117233
1,38,0.75682508945
1,39,5.7890486717
1,40,6.005510807
1,41,2.4255099297
1,42,6.6292643547
1,43,1.9039540291
1,44,2.0385377407
1,45,8.722448349
1,46,9.6852226257
1,47,7.0067734718
1,48,6.6466193199
1,49,9.1345119476
1,50,1.4039355516
1,51,1.6924610138
1,52,7.4157137871
1,53,0.37849065661
1,54,9.0603246689
1,55,9.8596324921
1,56,8.7934913635
1,57,8.659368515
1,58,4.4715147018
1,59,1.6840846539
1,60,3.1845788956
1,61,4.7770466805
1,62,9.3125524521
1,63,2.458974123
1,64,5.4191713333
1,65,6.4814300537
1,66,1.3183926344
1,67,7.6004667282
1,68,6.261141777
1,69,2.0752177238
1,70,3.3895153999
1,71,2.2666523457
1,72,4.5007276535
1,73,0.018779557198
1,74,4.1706066132
1,75,6.5392656326
1,76,8.7412281036
1,77,3.8558287621
1,78,3.5460391045
1,79,5.3878474236
1,80,2.9903407097
1,81,4.9499745369
1,82,7.0803079605
1,83,0.40605390072
1,84,5.3284649849
1,85,6.1406331062
1,86,0.26568689942
1,87,4.1219568253
1,88,4.8000016212
1,89,4.7372016907
1,90,5.8060412407
1,91,7.9845805168
1,92,9.5142478943
1,93,5.1185936928
1,94,0.44355484843
1,95,4.9334197044
1,96,1.6000237465
1,97,1.7619476318
1,98,2.5338861942
1,99,7.8611655235
1,100,3.8371653557
1,101,5.9234018326
1,102,0.1278180033
1,103,8.3378925323
1,104,5.9421806335
1,105,4.2984242439
1,106,4.877158165
1,107,4.683409214
1,108,8.154253006
1,109,8.4231977463
1,110,0.071256488562
1,111,1.1445935965
1,112,3.3731722832
1,113,7.1515650749
1,114,1.5506474972
1,115,8.7016372681
1,116,3.2921979427
1,117,1.8163342476
1,118,2.8235940933
1,119,8.0921993256
1,120,6.5535359383
1,121,8.6296358109
1,122,6.0767803192
1,123,6.0677843094
