Ejecucion,Indice,Valor
1,1,6.25
1,2,8.125
1,3,16.5
1,4,7.90625
1,5,25.0
1,6,23.5
1,7,28.25
1,8,15.5
1,9,28.625
1,10,20.0
1,11,29.625
1,12,13.875
1,13,11.0625
1,14,27.375
1,15,8.6875
1,16,23.25
1,17,23.875
1,18,19.75
1,19,12.375
1,20,6.5625
1,21,30.5
1,22,23.25
1,23,23.125
1,24,11.4375
1,25,9.9375
1,26,32.25
1,27,25.125
1,28,7.1875
1,29,20.625
1,30,11.25
1,31,16.625
1,32,24.25
1,33,8.3125
1,34,9.875
1,35,4.1875
1,36,24.25
1,37,12.6875
1,38,15.75
1,39,18.875
1,40,6.3125
1,41,14.875
1,42,14.625
1,43,17.125
1,44,28.5
1,45,12.625
1,46,13.3125
1,47,6.71875
1,48,22.5
1,49,14.25
1,50,25.625
1,51,15.125
1,52,19.25
1,53,20.125
1,54,6.09375
1,55,18.5
1,56,23.875
1,57,7.125
1,58,25.75
1,59,26.5
1,60,18.125
1,61,16.5
1,62,21.0
1,63,11.5625
1,64,14.5
1,65,8.375
1,66,20.5
1,67,12.75
1,68,17.5
1,69,7.3125
1,70,24.25
1,71,26.0
1,72,1.71875
1,73,29.125
1,74,23.5
1,75,14.25
1,76,3.734375
1,77,15.6875
1,78,30.125
1,79,24.375
1,80,19.375
1,81,7.40625
1,82,8.8125
1,83,12.0625
1,84,5.5
1,85,16.125
1,86,25.25
1,87,10.4375
1,88,7.78125
1,89,30.625
1,90,4.25
1,91,5.5625
1,92,18.125
1,93,22.75
1,94,14.8125
1,95,15.5
1,96,8.8125
1,97,6.5
1,98,19.375
1,99,24.0
1,100,18.0
1,101,20.875
1,102,14.8125
1,103,22.5
1,104,13.5
1,105,10.1875
1,106,6.9375
1,107,15.8125
1,108,3.3125
1,109,5.90625
1,110,28.25
1,111,18.625
1,112,20.625
1,113,24.75
1,114,9.9375
1,115,31.125
1,116,21.375
1,117,23.5
1,118,15.8125
1,119,15.0
1,120,8.125
1,121,3.3125
1,122,7.21875
1,123,20.0
1,124,23.875
1,125,18.625
1,126,23.75
1,127,11.6875
1,128,18.625
1,129,16.875
1,130,3.734375
1,131,22.75
1,132,22.375
1,133,17.5
1,134,25.0
1,135,10.0
1,136,13.8125
1,137,28.125
1,138,22.5
1,139,21.625
1,140,16.75
1,141,20.875
1,142,10.125
1,143,17.25
1,144,21.375
1,145,23.75
1,146,4.53125
1,147,16.5
1,148,25.375
1,149,7.6875
1,150,22.5
1,151,5.90625
1,152,11.0625
1,153,23.625
1,154,24.75
1,155,12.375
1,156,4.1875
1,157,14.25
1,158,18.375
1,159,9.375
1,160,11.875
1,161,21.125
