Ejecucion,Indice,Valor
1,1,6.265625
1,2,8.1171875
1,3,16.453125
1,4,7.89453125
1,5,24.921875
1,6,23.453125
1,7,28.28125
1,8,15.4921875
1,9,28.65625
1,10,19.9375
1,11,29.59375
1,12,13.84375
1,13,11.046875
1,14,27.40625
1,15,8.6953125
1,16,23.234375
1,17,23.984375
1,18,19.75
1,19,12.390625
1,20,6.5625
1,21,30.390625
1,22,23.28125
1,23,23.09375
1,24,11.4375
1,25,9.9609375
1,26,32.21875
1,27,25.03125
1,28,7.1875
1,29,20.65625
1,30,11.2578125
1,31,16.703125
1,32,24.3125
1,33,8.3203125
1,34,9.890625
1,35,4.21484375
1,36,24.28125
1,37,12.703125
1,38,15.7890625
1,39,18.84375
1,40,6.29296875
1,41,14.8515625
1,42,14.59375
1,43,17.0625
1,44,28.484375
1,45,12.6015625
1,46,13.3203125
1,47,6.71875
1,48,22.515625
1,49,14.1875
1,50,25.734375
1,51,15.078125
1,52,19.28125
1,53,20.078125
1,54,6.09375
1,55,18.53125
1,56,23.96875
1,57,7.13671875
1,58,25.78125
1,59,26.578125
1,60,18.15625
1,61,16.484375
1,62,20.984375
1,63,11.609375
1,64,14.4921875
1,65,8.3828125
1,66,20.46875
1,67,12.7578125
1,68,17.5
1,69,7.3046875
1,70,24.25
1,71,25.984375
1,72,1.724609375
1,73,29.25
1,74,23.5625
1,75,14.25
1,76,3.74609375
1,77,15.703125
1,78,30.1875
1,79,24.46875
1,80,19.375
1,81,7.421875
1,82,8.8203125
1,83,12.0625
1,84,5.5
1,85,16.1875
1,86,25.21875
1,87,10.4453125
1,88,7.7890625
1,89,30.6875
1,90,4.26953125
1,91,5.58203125
1,92,18.15625
1,93,22.75
1,94,14.84375
1,95,15.53125
1,96,8.8125
1,97,6.515625
1,98,19.375
1,99,23.96875
1,100,17.953125
1,101,20.859375
1,102,14.8125
1,103,22.578125
1,104,13.5
1,105,10.2109375
1,106,6.9140625
1,107,15.78125
1,108,3.32421875
1,109,5.9140625
1,110,28.25
1,111,18.59375
1,112,20.625
1,113,24.6875
1,114,9.953125
1,115,31.125
1,116,21.296875
1,117,23.53125
1,118,15.796875
1,119,14.96875
1,120,8.109375
1,121,3.318359375
1,122,7.21875
1,123,20.09375
1,124,23.875
1,125,18.71875
1,126,23.703125
1,127,11.65625
1,128,18.703125
1,129,16.84375
1,130,3.73828125
1,131,22.8125
1,132,22.453125
1,133,17.40625
1,134,24.96875
1,135,10.03125
1,136,13.8125
1,137,28.09375
1,138,22.453125
1,139,21.578125
1,140,16.703125
1,141,20.921875
1,142,10.109375
1,143,17.21875
1,144,21.421875
1,145,23.71875
1,146,4.5234375
1,147,16.453125
1,148,25.375
1,149,7.6953125
1,150,22.5
1,151,5.8984375
1,152,11.0625
1,153,23.59375
1,154,24.6875
1,155,12.3515625
1,156,4.203125
1,157,14.2734375
1,158,18.375
1,159,9.375
1,160,11.8125
1,161,21.21875
1,162,12.1015625
1,163,9.5546875
1,164,27.796875
1,165,20.296875
1,166,24.96875
1,167,5.328125
1,168,16.4375
1,169,12.0625
1,170,26.59375
1,171,25.0
1,172,23.953125
1,173,11.34375
1,174,27.03125
1,175,14.625
1,176,20.046875
1,177,21.421875
1,178,6.0078125
1,179,12.1328125
1,180,24.46875
