Ejecucion,Indice,Valor
1,1,612.37255859
1,2,3.9329750538
1,3,-0.65722191334
1,4,-2.8494915962
1,5,-6.9704198837
1,6,-2.7744445801
1,7,3.1326990128
1,8,-2.9430613518
1,9,-2.1220550537
1,10,4.5181722641
1,11,-6.9210734367
1,12,2.9533793926
1,13,1.1497417688
1,14,0.60422855616
1,15,-1.8021912575
1,16,-4.0557866096
1,17,-0.39903572202
1,18,-3.6007287502
1,19,-2.993622303
1,20,5.9068140984
1,21,-0.73210120201
1,22,0.17493821681
1,23,-1.5706233978
1,24,-2.6068844795
1,25,-4.1244921684
1,26,-0.21122127771
1,27,3.763916254
1,28,1.0994997025
1,29,1.6010206938
1,30,5.1214771271
1,31,3.0628745556
1,32,-0.51708209515
1,33,2.9695572853
1,34,-2.5102555752
1,35,2.2645263672
1,36,6.6966457367
1,37,0.65433365107
1,38,0.62679815292
1,39,-0.30671796203
1,40,4.2039012909
1,41,7.1425185204
1,42,2.7788958549
1,43,1.7593497038
1,44,-3.9139947891
1,45,0.9275764823
1,46,-2.7257452011
1,47,-1.9339419603
1,48,-1.9369341135
1,49,-0.58880120516
1,50,3.1152784824
1,51,-3.1345963478
1,52,-3.7866587639
1,53,-3.1511366367
1,54,-0.73222583532
1,55,1.0611094236
1,56,3.6106836796
1,57,-0.25940954685
1,58,1.7534304857
1,59,3.0957372189
1,60,-4.7875366211
1,61,-3.4622933865
1,62,2.0055408478
1,63,-1.7641460896
1,64,-2.0628705025
1,65,-1.3867409229
1,66,-3.9404735565
1,67,1.9627635479
1,68,-1.2977401018
1,69,3.6581687927
1,70,0.59472054243
1,71,0.55396986008
1,72,2.6542394161
1,73,-1.6508424282
1,74,2.8707642555
1,75,1.4367941618
1,76,-0.85067874193
1,77,0.35438999534
1,78,-0.62862247229
1,79,-0.6829315424
1,80,0.18833827972
1,81,1.9045882225
1,82,1.3526160717
1,83,-2.8414740562
1,84,-1.2062951326
1,85,2.3781793118
1,86,-1.2926250696
1,87,-2.8094403744
1,88,2.2870333195
1,89,0.67485356331
1,90,-1.4936378002
1,91,4.8959770203
1,92,2.9409384727
1,93,2.5838475227
1,94,-2.3772990704
1,95,4.8057184219
1,96,7.2288274765
1,97,-3.0241155624
1,98,3.457044363
1,99,-1.4436467886
1,100,-1.1533061266
1,101,4.5159630775
1,102,-0.75423634052
1,103,0.81903600693
1,104,0.9306307435
1,105,1.8940879107
1,106,0.8817551136
1,107,3.7684326172
1,108,-1.6056388617
1,109,-0.0092065138742
1,110,-2.002696991
1,111,-3.3206400871
1,112,-4.4264216423
1,113,-0.40650290251
1,114,2.9838621616
1,115,-1.8170222044
1,116,1.7674162388
1,117,-1.3900433779
1,118,-4.0138788223
1,119,2.0459151268
1,120,5.1171579361
1,121,4.3984875679
1,122,-2.6355068684
1,123,2.0124180317
1,124,-0.5130661726
1,125,0.59601402283
1,126,3.6891682148
1,127,-2.2158102989
1,128,-0.22181141376
1,129,2.7612569332
1,130,0.99357354641
1,131,1.3676457405
1,132,3.2560632229
1,133,0.045053526759
1,134,-0.79541367292
1,135,0.17321646214
1,136,1.8760598898
1,137,-2.8781294823
1,138,0.34318888187
1,139,-3.0480754375
1,140,-0.96267133951
1,141,2.0007026196
1,142,1.3926744461
1,143,3.8770616055
1,144,2.4205102921
1,145,-1.6678262949
1,146,2.2524280548
1,147,-3.1825356483
1,148,-0.49396011233
1,149,0.16422051191
1,150,3.2508542538
1,151,-2.0210404396
1,152,3.9099342823
1,153,-3.1685070992
1,154,-2.5436689854
1,155,1.9428949356
1,156,-4.0976572037
1,157,4.2659196854
1,158,-2.4071786404
1,159,-2.1292991638
1,160,4.0234880447
1,161,-7.8936562538
1,162,1.7674174309
1,163,-3.5042009354
1,164,-1.9478771687
1,165,-1.2887666225
1,166,-2.2298178673
1,167,-0.93813765049
1,168,3.0359547138
1,169,-0.63067728281
1,170,0.13927252591
1,171,1.7962833643
1,172,-1.09608078
1,173,-3.1999678612
1,174,2.4881682396
1,175,3.3537437916
1,176,2.9578866959
1,177,1.4098113775
1,178,2.8975167274
1,179,1.7937655449
1,180,2.2997572422
1,181,2.751237154
1,182,-4.0737586021
1,183,5.9031600952
1,184,1.7168495655
1,185,3.9850521088
1,186,-3.1643309593
1,187,-1.1358132362
1,188,5.7027459145
