Ejecucion,Indice,Valor
1,1,612.37255859
1,2,3.9329807758
1,3,-0.65770542622
1,4,-2.8477082253
1,5,-6.9700064659
1,6,-2.7741937637
1,7,3.1324357986
1,8,-2.9429214001
1,9,-2.1222498417
1,10,4.5181393623
1,11,-6.9208602905
1,12,2.9534602165
1,13,1.1496977806
1,14,0.60424256325
1,15,-1.8021359444
1,16,-4.0557522774
1,17,-0.39915513992
1,18,-3.6007184982
1,19,-2.9935600758
1,20,5.9068384171
1,21,-0.73212116957
1,22,0.17496880889
1,23,-1.5706343651
1,24,-2.6069076061
1,25,-4.1244502068
1,26,-0.21120676398
1,27,3.76390481
1,28,1.0994520187
1,29,1.6010577679
1,30,5.1213979721
1,31,3.0628890991
1,32,-0.51711124182
1,33,2.9695775509
1,34,-2.5102248192
1,35,2.2645175457
1,36,6.6966509819
1,37,0.65432053804
1,38,0.62673354149
1,39,-0.30669367313
1,40,4.2039093971
1,41,7.1424670219
1,42,2.7789280415
1,43,1.7593108416
1,44,-3.9140262604
1,45,0.92759382725
1,46,-2.7257580757
1,47,-1.9339827299
1,48,-1.9369233847
1,49,-0.58873128891
1,50,3.1152563095
1,51,-3.1346933842
1,52,-3.7866623402
1,53,-3.1511056423
1,54,-0.73222523928
1,55,1.0611077547
1,56,3.6106703281
1,57,-0.25940841436
1,58,1.7534470558
1,59,3.0957164764
1,60,-4.7875285149
1,61,-3.4622359276
1,62,2.0055553913
1,63,-1.7641379833
1,64,-2.0628623962
1,65,-1.386749506
1,66,-3.940444231
1,67,1.9628009796
1,68,-1.2977032661
1,69,3.6581556797
1,70,0.59473264217
1,71,0.55398905277
1,72,2.6542448997
1,73,-1.6508287191
1,74,2.8707680702
1,75,1.4367581606
1,76,-0.85064268112
1,77,0.35435375571
1,78,-0.62860745192
1,79,-0.68290144205
1,80,0.18832314014
1,81,1.9045698643
1,82,1.3526155949
1,83,-2.8414607048
1,84,-1.2062802315
1,85,2.3782258034
1,86,-1.2926156521
1,87,-2.8094341755
1,88,2.2870149612
1,89,0.67484951019
1,90,-1.4936244488
1,91,4.8960676193
1,92,2.9409472942
1,93,2.5838549137
1,94,-2.3773231506
1,95,4.8057260513
1,96,7.2287998199
1,97,-3.0241448879
1,98,3.4570567608
1,99,-1.4436264038
1,100,-1.1533153057
1,101,4.5159454346
1,102,-0.75421303511
1,103,0.81905519962
1,104,0.93063718081
1,105,1.894090414
1,106,0.88175106049
1,107,3.7684710026
1,108,-1.6056650877
1,109,-0.0091909598559
1,110,-2.0026938915
1,111,-3.320608139
1,112,-4.426381588
1,113,-0.40648752451
1,114,2.9838378429
1,115,-1.8170307875
1,116,1.7674276829
1,117,-1.3900419474
1,118,-4.013864994
1,119,2.0459151268
1,120,5.1171765327
1,121,4.3984980583
1,122,-2.6355113983
1,123,2.0124139786
1,124,-0.51306092739
1,125,0.59603023529
1,126,3.6890153885
1,127,-2.2158021927
1,128,-0.22181224823
1,129,2.7612440586
1,130,0.99357122183
1,131,1.3676265478
1,132,3.2560708523
1,133,0.045053966343
1,134,-0.79542165995
1,135,0.17322015762
1,136,1.8760374784
1,137,-2.8781290054
1,138,0.34316974878
1,139,-3.0480811596
1,140,-0.96268463135
1,141,2.0006952286
1,142,1.3926825523
1,143,3.877038002
1,144,2.420519352
1,145,-1.667827487
1,146,2.2524397373
1,147,-3.1825342178
1,148,-0.4939622283
1,149,0.16424116492
1,150,3.2508525848
1,151,-2.0210635662
1,152,3.9099304676
1,153,-3.1684958935
1,154,-2.5436739922
1,155,1.9428834915
1,156,-4.097653389
1,157,4.2659263611
1,158,-2.4071726799
1,159,-2.1292784214
1,160,4.0234808922
1,161,-7.8937063217
1,162,1.7674328089
1,163,-3.5041973591
1,164,-1.947876811
1,165,-1.288782835
1,166,-2.2298178673
1,167,-0.93813419342
1,168,3.0359423161
1,169,-0.63068664074
1,170,0.13926529884
1,171,1.7962815762
1,172,-1.0960742235
1,173,-3.1999344826
1,174,2.4881618023
1,175,3.3537330627
1,176,2.9578742981
1,177,1.4097951651
1,178,2.8974995613
1,179,1.7937824726
1,180,2.299749136
1,181,2.7512354851
1,182,-4.0737891197
1,183,5.9031457901
1,184,1.7168531418
1,185,3.9850521088
