Ejecucion,Indice,Valor
1,1,8.875
1,2,2.765625
1,3,2.0
1,4,5.625
1,5,0.546875
1,6,8.125
1,7,5.40625
1,8,8.0
1,9,4.90625
1,10,8.1875
1,11,6.3125
1,12,7.8125
1,13,4.96875
1,14,2.671875
1,15,7.4375
1,16,2.515625
1,17,7.71875
1,18,6.21875
1,19,4.5
1,20,4.0
1,21,2.1875
1,22,8.375
1,23,7.125
1,24,7.75
1,25,2.296875
1,26,2.953125
1,27,10.75
1,28,8.375
1,29,1.5
1,30,6.1875
1,31,4.125
1,32,5.28125
1,33,6.53125
1,34,2.734375
1,35,3.40625
1,36,1.078125
1,37,7.65625
1,38,4.4375
1,39,4.5625
1,40,5.5
1,41,2.03125
1,42,5.4375
1,43,3.0
1,44,4.6875
1,45,8.625
1,46,4.71875
1,47,3.359375
1,48,0.7578125
1,49,6.53125
1,50,3.40625
1,51,6.46875
1,52,4.3125
1,53,5.15625
1,54,7.625
1,55,-0.23046875
1,56,5.34375
1,57,6.59375
1,58,0.7890625
1,59,7.125
1,60,7.875
1,61,5.125
1,62,4.6875
1,63,5.0625
1,64,4.625
1,65,3.890625
1,66,4.03125
1,67,5.0
1,68,4.5625
1,69,4.59375
1,70,1.171875
1,71,7.8125
1,72,8.6875
1,73,-0.15625
1,74,7.78125
1,75,7.46875
1,76,5.15625
1,77,0.734375
1,78,3.53125
1,79,9.0
1,80,7.4375
1,81,4.84375
1,82,1.9921875
1,83,2.296875
1,84,5.03125
1,85,2.453125
1,86,3.828125
1,87,9.0625
1,88,2.1875
1,89,0.734375
1,90,9.5625
1,91,1.953125
1,92,1.984375
1,93,4.46875
1,94,7.25
1,95,3.65625
1,96,6.25
1,97,1.140625
1,98,3.390625
1,99,4.75
1,100,6.625
1,101,5.875
1,102,5.0
1,103,4.15625
1,104,8.625
1,105,3.5
1,106,4.3125
1,107,1.703125
1,108,5.59375
1,109,1.8359375
1,110,0.8359375
1,111,8.8125
1,112,5.25
1,113,6.5625
1,114,8.375
1,115,0.859375
1,116,9.875
1,117,6.6875
1,118,6.625
1,119,5.78125
1,120,4.5
1,121,3.625
1,122,2.234375
1,123,1.328125
1,124,6.46875
1,125,5.71875
1,126,6.1875
1,127,6.90625
1,128,4.46875
1,129,5.15625
1,130,4.90625
1,131,1.609375
1,132,6.46875
1,133,7.0625
1,134,4.09375
1,135,7.21875
1,136,3.421875
1,137,4.84375
1,138,7.4375
1,139,6.03125
1,140,6.875
1,141,3.78125
1,142,6.25
1,143,1.96875
1,144,4.25
1,145,7.40625
1,146,8.0625
1,147,1.40625
1,148,4.75
1,149,8.8125
1,150,2.65625
1,151,7.5
1,152,0.73828125
1,153,3.03125
1,154,5.96875
1,155,5.90625
1,156,4.53125
1,157,0.85546875
1,158,4.125
1,159,5.3125
1,160,3.65625
1,161,2.515625
1,162,5.4375
1,163,3.71875
1,164,1.1484375
1,165,7.84375
1,166,5.0
1,167,8.6875
1,168,1.28125
1,169,5.15625
1,170,1.8984375
1,171,7.65625
1,172,6.9375
1,173,8.5
1,174,1.3046875
1,175,8.1875
1,176,4.03125
1,177,5.375
1,178,5.8125
1,179,0.9453125
1,180,3.0
1,181,5.75
1,182,8.9375
1,183,3.6875
1,184,4.78125
1,185,2.5625
1,186,8.625
1,187,6.8125
1,188,7.40625
1,189,4.15625
1,190,0.421875
1,191,7.375
1,192,5.46875
1,193,6.46875
1,194,8.125
1,195,5.75
1,196,1.1953125
1,197,1.625
1,198,5.90625
1,199,2.984375
1,200,1.6328125
1,201,3.5625
1,202,5.71875
1,203,2.09375
1,204,5.78125
1,205,3.078125
1,206,7.28125
1,207,1.890625
1,208,4.53125
1,209,6.53125
1,210,0.7734375
1,211,6.34375
1,212,2.53125
1,213,3.40625
1,214,9.5
1,215,2.84375
1,216,8.1875
1,217,5.15625
1,218,3.046875
1,219,4.625
1,220,4.75
1,221,4.9375
1,222,4.4375
1,223,6.03125
1,224,0.1640625
1,225,4.15625
1,226,4.84375
1,227,2.890625
1,228,3.40625
1,229,2.0625
1,230,2.703125
1,231,0.30859375
1,232,6.28125
1,233,3.625
1,234,6.46875
1,235,6.8125
1,236,7.1875
1,237,0.69140625
1,238,3.59375
1,239,3.078125
1,240,1.7734375
1,241,5.9375
1,242,8.875
1,243,6.5
1,244,6.40625
1,245,5.28125
1,246,3.453125
1,247,2.515625
1,248,2.28125
1,249,5.28125
1,250,4.375
1,251,4.875
1,252,5.15625
1,253,4.5
1,254,6.03125
1,255,1.25
1,256,9.75
1,257,3.203125
1,258,7.3125
1,259,8.5625
1,260,5.75
1,261,2.78125
1,262,5.6875
1,263,5.21875
1,264,3.96875
1,265,4.21875
1,266,3.875
1,267,1.21875
1,268,8.5
1,269,4.0
1,270,5.75
1,271,8.5625
1,272,2.453125
1,273,5.46875
1,274,2.734375
1,275,3.46875
1,276,6.625
1,277,5.25
1,278,4.0625
1,279,5.25
1,280,2.203125
1,281,1.390625
1,282,2.328125
1,283,2.59375
1,284,4.53125
1,285,4.0625
1,286,4.34375
1,287,7.0625
1,288,3.140625
1,289,6.59375
1,290,4.09375
1,291,0.65234375
1,292,5.0625
1,293,4.28125
1,294,1.3515625
1,295,2.15625
1,296,2.78125
1,297,2.09375
1,298,3.640625
1,299,4.6875
1,300,6.3125
1,301,6.0
1,302,7.59375
1,303,1.21875
1,304,4.375
1,305,4.09375
1,306,1.59375
1,307,5.46875
1,308,6.90625
1,309,5.75
1,310,9.375
1,311,3.046875
1,312,6.4375
1,313,3.5
1,314,2.375
1,315,8.3125
1,316,5.59375
1,317,0.5625
1,318,7.375
1,319,5.21875
1,320,2.078125
1,321,5.15625
1,322,6.625
1,323,5.28125
1,324,7.875
1,325,4.34375
1,326,9.0625
1,327,9.375
1,328,5.09375
1,329,6.84375
1,330,2.203125
1,331,6.09375
1,332,6.90625
1,333,8.5
1,334,8.5
1,335,0.96875
1,336,8.125
1,337,6.6875
1,338,1.8125
1,339,3.34375
1,340,4.375
1,341,8.125
1,342,7.625
1,343,8.875
1,344,2.765625
1,345,3.875
1,346,5.84375
1,347,6.59375
1,348,7.875
1,349,4.5
1,350,5.125
1,351,6.875
1,352,2.875
1,353,1.8125
1,354,5.625
1,355,5.625
1,356,6.65625
1,357,3.40625
1,358,2.5
1,359,0.70703125
1,360,6.71875
1,361,6.46875
1,362,5.8125
1,363,2.78125
1,364,4.4375
1,365,7.59375
1,366,0.259765625
1,367,4.125
1,368,8.0
1,369,6.5625
1,370,1.1015625
1,371,4.9375
1,372,5.96875
1,373,3.25
1,374,8.125
1,375,7.46875
1,376,7.3125
1,377,3.625
1,378,3.28125
1,379,6.84375
1,380,2.46875
1,381,7.25
1,382,0.1484375
1,383,3.328125
1,384,4.75
1,385,5.59375
1,386,3.375
1,387,4.875
1,388,8.875
1,389,5.3125
1,390,2.125
1,391,5.5625
1,392,10.5
1,393,1.34375
1,394,5.65625
1,395,1.4765625
1,396,10.125
1,397,7.0625
1,398,0.087890625
1,399,3.5
1,400,6.5625
1,401,7.0
1,402,7.1875
1,403,4.28125
1,404,10.0625
1,405,4.28125
1,406,2.375
1,407,7.9375
1,408,7.8125
1,409,4.1875
1,410,4.9375
1,411,1.5390625
1,412,4.40625
1,413,6.6875
1,414,2.78125
1,415,3.109375
1,416,6.78125
1,417,4.375
1,418,5.75
1,419,7.4375
1,420,8.1875
1,421,6.71875
1,422,4.15625
1,423,3.53125
1,424,6.3125
1,425,6.59375
1,426,0.90234375
1,427,6.4375
1,428,4.25
1,429,4.8125
1,430,9.5625
1,431,3.890625
1,432,4.3125
1,433,7.78125
1,434,8.1875
1,435,3.34375
1,436,7.0
1,437,3.265625
1,438,8.375
1,439,0.5234375
1,440,9.5
1,441,7.3125
1,442,6.5
1,443,2.0
1,444,4.3125
1,445,9.0
1,446,3.5
1,447,8.875
1,448,3.6875
1,449,4.09375
1,450,6.84375
1,451,5.71875
1,452,1.25
1,453,10.0
1,454,4.5625
1,455,4.4375
1,456,5.15625
1,457,0.796875
1,458,3.0
1,459,6.09375
1,460,4.625
1,461,2.421875
1,462,9.3125
1,463,8.4375
1,464,7.96875
1,465,7.375
1,466,8.6875
1,467,3.765625
1,468,4.5625
1,469,2.109375
1,470,3.03125
1,471,9.4375
1,472,4.5625
1,473,2.328125
1,474,6.78125
1,475,6.15625
1,476,3.59375
1,477,8.3125
1,478,4.9375
1,479,7.15625
1,480,2.9375
1,481,6.5
1,482,2.53125
1,483,5.3125
1,484,5.3125
1,485,6.1875
1,486,8.9375
1,487,4.0
1,488,7.15625
1,489,2.34375
1,490,4.78125
1,491,2.859375
1,492,3.328125
1,493,7.53125
1,494,2.84375
1,495,7.34375
1,496,1.65625
1,497,8.625
1,498,4.125
1,499,5.03125
1,500,8.8125
1,501,4.03125
1,502,9.3125
1,503,5.0
1,504,5.625
1,505,7.96875
1,506,4.625
1,507,6.28125
1,508,3.234375
1,509,7.4375
1,510,7.25
1,511,4.3125
1,512,8.6875
1,513,3.109375
1,514,8.125
1,515,4.71875
1,516,3.140625
1,517,8.4375
1,518,5.5
1,519,1.53125
1,520,8.25
1,521,1.59375
1,522,6.59375
1,523,3.28125
1,524,6.75
1,525,7.09375
1,526,6.78125
1,527,5.375
1,528,5.625
1,529,0.66796875
1,530,1.7109375
1,531,0.59375
1,532,9.0625
1,533,1.125
1,534,8.6875
1,535,5.78125
1,536,4.6875
1,537,7.21875
1,538,2.78125
1,539,2.25
1,540,5.03125
1,541,0.98046875
1,542,5.78125
1,543,0.9453125
1,544,6.21875
1,545,3.84375
1,546,5.75
1,547,1.53125
1,548,2.1875
1,549,5.75
1,550,4.0625
1,551,2.6875
1,552,3.921875
1,553,9.9375
1,554,0.5078125
1,555,8.6875
1,556,2.84375
1,557,1.1015625
1,558,7.3125
1,559,6.25
1,560,2.40625
1,561,5.1875
1,562,5.8125
1,563,9.1875
1,564,8.0625
1,565,2.546875
1,566,1.5234375
1,567,0.91015625
1,568,2.671875
1,569,8.375
1,570,0.5703125
1,571,8.75
1,572,5.4375
1,573,0.75
1,574,4.40625
1,575,3.765625
1,576,9.625
1,577,2.421875
1,578,4.40625
1,579,2.234375
1,580,6.625
1,581,4.71875
1,582,8.8125
1,583,2.34375
1,584,6.5
1,585,3.390625
1,586,4.0
1,587,5.4375
1,588,2.0
1,589,8.375
1,590,3.234375
1,591,5.6875
1,592,8.6875
1,593,8.3125
1,594,7.25
1,595,5.625
1,596,7.875
1,597,4.5
1,598,6.0
1,599,8.0625
1,600,6.3125
1,601,5.8125
1,602,4.84375
1,603,3.515625
1,604,4.96875
1,605,4.5
1,606,1.640625
1,607,6.03125
1,608,3.265625
1,609,7.125
1,610,1.21875
1,611,0.609375
1,612,4.375
1,613,6.96875
1,614,0.734375
1,615,9.125
1,616,3.953125
1,617,4.875
1,618,2.46875
1,619,9.5
1,620,7.78125
1,621,3.171875
1,622,4.09375
1,623,3.5
1,624,4.875
1,625,7.8125
1,626,3.40625
1,627,6.4375
1,628,3.5625
1,629,6.96875
1,630,8.375
1,631,2.59375
1,632,1.0078125
1,633,8.625
1,634,2.09375
1,635,8.4375
1,636,3.234375
1,637,9.375
1,638,4.59375
1,639,4.65625
1,640,7.28125
1,641,4.375
1,642,4.65625
1,643,3.484375
1,644,5.40625
1,645,2.546875
1,646,5.1875
1,647,3.65625
1,648,7.625
1,649,5.96875
1,650,2.890625
1,651,3.375
1,652,7.28125
1,653,0.9609375
1,654,4.375
1,655,6.375
