Ejecucion,Indice,Valor
1,1,8.8515625
1,2,2.775390625
1,3,2.0078125
1,4,5.6484375
1,5,0.54296875
1,6,8.125
1,7,5.40625
1,8,8.03125
1,9,4.8984375
1,10,8.2421875
1,11,6.29296875
1,12,7.828125
1,13,4.96484375
1,14,2.662109375
1,15,7.47265625
1,16,2.53125
1,17,7.68359375
1,18,6.23828125
1,19,4.5078125
1,20,4.015625
1,21,2.201171875
1,22,8.359375
1,23,7.109375
1,24,7.77734375
1,25,2.28515625
1,26,2.958984375
1,27,10.734375
1,28,8.3671875
1,29,1.498046875
1,30,6.1875
1,31,4.12109375
1,32,5.28515625
1,33,6.53125
1,34,2.736328125
1,35,3.412109375
1,36,1.0810546875
1,37,7.65234375
1,38,4.47265625
1,39,4.57421875
1,40,5.50390625
1,41,2.021484375
1,42,5.4375
1,43,2.998046875
1,44,4.6875
1,45,8.5859375
1,46,4.7109375
1,47,3.349609375
1,48,0.755859375
1,49,6.53125
1,50,3.40625
1,51,6.4921875
1,52,4.30078125
1,53,5.1796875
1,54,7.64453125
1,55,-0.2275390625
1,56,5.359375
1,57,6.6171875
1,58,0.7919921875
1,59,7.109375
1,60,7.8671875
1,61,5.11328125
1,62,4.65234375
1,63,5.07421875
1,64,4.58984375
1,65,3.8984375
1,66,4.0390625
1,67,4.98828125
1,68,4.53125
1,69,4.6171875
1,70,1.1748046875
1,71,7.828125
1,72,8.6796875
1,73,-0.16015625
1,74,7.80859375
1,75,7.45703125
1,76,5.14453125
1,77,0.7412109375
1,78,3.5390625
1,79,8.953125
1,80,7.42578125
1,81,4.87109375
1,82,1.98828125
1,83,2.3046875
1,84,5.03515625
1,85,2.44921875
1,86,3.80859375
1,87,9.0
1,88,2.21875
1,89,0.7177734375
1,90,9.5390625
1,91,1.9462890625
1,92,1.9970703125
1,93,4.46875
1,94,7.25390625
1,95,3.65625
1,96,6.265625
1,97,1.13671875
1,98,3.3984375
1,99,4.7734375
1,100,6.61328125
1,101,5.89453125
1,102,4.9921875
1,103,4.171875
1,104,8.734375
1,105,3.48828125
1,106,4.30859375
1,107,1.693359375
1,108,5.625
1,109,1.8359375
1,110,0.833984375
1,111,8.8046875
1,112,5.2734375
1,113,6.60546875
1,114,8.3828125
1,115,0.8564453125
1,116,9.84375
1,117,6.66796875
1,118,6.640625
1,119,5.80078125
1,120,4.46875
1,121,3.63671875
1,122,2.228515625
1,123,1.333984375
1,124,6.4921875
1,125,5.734375
1,126,6.1640625
1,127,6.92578125
1,128,4.48046875
1,129,5.1171875
1,130,4.91015625
1,131,1.603515625
1,132,6.47265625
1,133,7.09375
1,134,4.10546875
1,135,7.234375
1,136,3.4375
1,137,4.8515625
1,138,7.453125
1,139,6.01953125
1,140,6.85546875
1,141,3.7734375
1,142,6.2890625
1,143,1.96484375
1,144,4.234375
1,145,7.37109375
1,146,8.046875
1,147,1.404296875
1,148,4.7578125
1,149,8.890625
1,150,2.64453125
1,151,7.4375
1,152,0.73876953125
1,153,2.99609375
1,154,5.9765625
1,155,5.8828125
1,156,4.52734375
1,157,0.861328125
1,158,4.11328125
1,159,5.3359375
1,160,3.650390625
1,161,2.498046875
1,162,5.4453125
1,163,3.7265625
1,164,1.1494140625
1,165,7.8125
1,166,4.9765625
1,167,8.625
1,168,1.2890625
1,169,5.16015625
1,170,1.900390625
1,171,7.60546875
1,172,6.953125
1,173,8.5
1,174,1.29296875
1,175,8.1640625
1,176,4.0546875
1,177,5.3984375
1,178,5.81640625
1,179,0.94970703125
1,180,2.986328125
1,181,5.7578125
1,182,9.015625
1,183,3.685546875
1,184,4.76171875
1,185,2.572265625
1,186,8.625
1,187,6.8359375
1,188,7.3984375
1,189,4.14453125
1,190,0.4208984375
1,191,7.390625
1,192,5.46875
1,193,6.4765625
1,194,8.1640625
1,195,5.75
1,196,1.18359375
1,197,1.6162109375
1,198,5.8828125
1,199,2.998046875
1,200,1.6337890625
1,201,3.5625
1,202,5.75
1,203,2.09375
1,204,5.734375
1,205,3.08984375
1,206,7.28515625
1,207,1.8828125
1,208,4.515625
1,209,6.53515625
1,210,0.771484375
1,211,6.33984375
1,212,2.537109375
1,213,3.404296875
1,214,9.5
1,215,2.82421875
1,216,8.21875
1,217,5.1484375
1,218,3.037109375
1,219,4.61328125
1,220,4.72265625
1,221,4.9375
1,222,4.4296875
1,223,6.0234375
1,224,0.169921875
1,225,4.1328125
1,226,4.84765625
1,227,2.896484375
1,228,3.423828125
1,229,2.060546875
1,230,2.69921875
1,231,0.30712890625
1,232,6.2734375
1,233,3.640625
1,234,6.44921875
1,235,6.83984375
1,236,7.203125
1,237,0.685546875
1,238,3.58984375
1,239,3.078125
1,240,1.7724609375
1,241,5.9453125
1,242,8.9296875
1,243,6.5078125
1,244,6.40234375
1,245,5.28125
1,246,3.455078125
1,247,2.513671875
1,248,2.291015625
1,249,5.28515625
1,250,4.3984375
1,251,4.90625
1,252,5.1484375
1,253,4.484375
1,254,6.05078125
1,255,1.248046875
1,256,9.7734375
1,257,3.197265625
1,258,7.296875
1,259,8.5546875
1,260,5.77734375
1,261,2.796875
1,262,5.671875
1,263,5.20703125
1,264,3.9609375
1,265,4.203125
1,266,3.87109375
1,267,1.2119140625
1,268,8.453125
1,269,4.0078125
1,270,5.75390625
1,271,8.5859375
1,272,2.4609375
1,273,5.48046875
1,274,2.734375
1,275,3.462890625
1,276,6.6328125
1,277,5.2421875
1,278,4.0703125
1,279,5.2734375
1,280,2.19921875
1,281,1.390625
1,282,2.3359375
1,283,2.58984375
1,284,4.54296875
1,285,4.046875
1,286,4.35546875
1,287,7.0703125
1,288,3.15625
1,289,6.58203125
1,290,4.09765625
1,291,0.64892578125
1,292,5.05078125
1,293,4.29296875
1,294,1.33984375
1,295,2.15234375
1,296,2.794921875
1,297,2.109375
1,298,3.64453125
1,299,4.671875
1,300,6.296875
1,301,5.984375
1,302,7.59765625
1,303,1.21875
1,304,4.37109375
1,305,4.140625
1,306,1.59375
1,307,5.45703125
1,308,6.92578125
1,309,5.76953125
1,310,9.3125
1,311,3.060546875
1,312,6.46484375
1,313,3.48828125
1,314,2.365234375
1,315,8.296875
1,316,5.625
1,317,0.564453125
1,318,7.34765625
1,319,5.22265625
1,320,2.083984375
1,321,5.1875
1,322,6.6484375
1,323,5.32421875
1,324,7.88671875
1,325,4.34765625
1,326,9.0078125
1,327,9.3125
1,328,5.07421875
1,329,6.8359375
1,330,2.2109375
1,331,6.1015625
1,332,6.91015625
1,333,8.5546875
1,334,8.4453125
1,335,0.9716796875
1,336,8.140625
1,337,6.70703125
1,338,1.8046875
1,339,3.36328125
1,340,4.375
1,341,8.15625
1,342,7.6171875
1,343,8.8671875
1,344,2.765625
1,345,3.87890625
1,346,5.828125
1,347,6.5625
1,348,7.90234375
1,349,4.49609375
1,350,5.14453125
1,351,6.8828125
1,352,2.876953125
1,353,1.8203125
1,354,5.6328125
1,355,5.625
1,356,6.64453125
1,357,3.40234375
1,358,2.49609375
1,359,0.70849609375
1,360,6.72265625
1,361,6.4921875
1,362,5.8203125
1,363,2.796875
1,364,4.421875
1,365,7.56640625
1,366,0.25561523438
1,367,4.1015625
1,368,8.046875
1,369,6.56640625
1,370,1.10546875
1,371,4.93359375
1,372,5.97265625
1,373,3.26953125
1,374,8.1015625
1,375,7.4921875
1,376,7.31640625
1,377,3.6328125
1,378,3.2734375
1,379,6.87109375
1,380,2.46875
1,381,7.2578125
1,382,0.14501953125
1,383,3.3515625
1,384,4.77734375
1,385,5.62109375
1,386,3.357421875
1,387,4.8828125
1,388,8.875
1,389,5.3046875
1,390,2.13671875
1,391,5.56640625
1,392,10.515625
1,393,1.3525390625
1,394,5.62890625
1,395,1.4794921875
1,396,10.1640625
1,397,7.0703125
1,398,0.091796875
1,399,3.498046875
1,400,6.59375
1,401,7.00390625
1,402,7.15625
1,403,4.2890625
1,404,10.046875
1,405,4.27734375
1,406,2.392578125
1,407,7.8828125
1,408,7.80078125
1,409,4.19140625
1,410,4.95703125
1,411,1.53515625
1,412,4.40625
1,413,6.6796875
1,414,2.787109375
1,415,3.1171875
1,416,6.79296875
1,417,4.34375
1,418,5.7578125
1,419,7.484375
1,420,8.25
1,421,6.7265625
1,422,4.109375
1,423,3.541015625
1,424,6.34375
1,425,6.59765625
1,426,0.90380859375
1,427,6.4140625
1,428,4.23828125
1,429,4.8125
1,430,9.515625
1,431,3.912109375
1,432,4.296875
1,433,7.75
1,434,8.140625
1,435,3.34765625
1,436,7.00390625
1,437,3.271484375
1,438,8.4296875
1,439,0.5234375
1,440,9.5390625
1,441,7.3125
1,442,6.49609375
1,443,2.009765625
1,444,4.32421875
1,445,9.015625
1,446,3.4921875
1,447,8.8984375
1,448,3.68359375
1,449,4.0859375
1,450,6.890625
1,451,5.72265625
1,452,1.251953125
1,453,10.0
1,454,4.5546875
1,455,4.44921875
1,456,5.14453125
1,457,0.794921875
1,458,2.998046875
1,459,6.12890625
1,460,4.6171875
1,461,2.42578125
1,462,9.3203125
1,463,8.40625
1,464,7.9765625
1,465,7.33984375
1,466,8.671875
1,467,3.765625
1,468,4.55078125
1,469,2.109375
1,470,3.04296875
1,471,9.4453125
1,472,4.57421875
1,473,2.32421875
1,474,6.796875
1,475,6.1484375
1,476,3.5859375
1,477,8.2890625
1,478,4.90625
1,479,7.15234375
1,480,2.9296875
1,481,6.5078125
1,482,2.5390625
1,483,5.28125
1,484,5.2890625
1,485,6.1953125
1,486,8.953125
1,487,4.01953125
1,488,7.14453125
1,489,2.34765625
1,490,4.796875
1,491,2.86328125
1,492,3.32421875
1,493,7.53515625
1,494,2.837890625
1,495,7.359375
1,496,1.6630859375
1,497,8.609375
1,498,4.140625
1,499,5.03125
1,500,8.7890625
1,501,4.01953125
1,502,9.375
1,503,5.01953125
1,504,5.62890625
1,505,7.9609375
1,506,4.61328125
1,507,6.3125
1,508,3.21875
1,509,7.40625
1,510,7.265625
1,511,4.32421875
1,512,8.6328125
1,513,3.1328125
1,514,8.09375
1,515,4.71875
1,516,3.14453125
1,517,8.3828125
1,518,5.5234375
1,519,1.53515625
1,520,8.2578125
1,521,1.580078125
1,522,6.5703125
1,523,3.31640625
1,524,6.73046875
1,525,7.09375
1,526,6.74609375
1,527,5.42578125
1,528,5.61328125
1,529,0.66943359375
