Ejecucion,Indice,Valor
1,1,8.8496675491
1,2,2.7736148834
1,3,2.007080555
1,4,5.6462569237
1,5,0.54209017754
1,6,8.129992485
1,7,5.4091558456
1,8,8.0252056122
1,9,4.8959832191
1,10,8.2453718185
1,11,6.2934913635
1,12,7.8245234489
1,13,4.9637942314
1,14,2.6628949642
1,15,7.4704155922
1,16,2.5314259529
1,17,7.679377079
1,18,6.238255024
1,19,4.5067176819
1,20,4.0162010193
1,21,2.2014214993
1,22,8.3589353561
1,23,7.105919838
1,24,7.7761182785
1,25,2.285132885
1,26,2.958865881
1,27,10.728446007
1,28,8.367814064
1,29,1.4975349903
1,30,6.1891856194
1,31,4.119852066
1,32,5.2880330086
1,33,6.5256519318
1,34,2.7356874943
1,35,3.410800457
1,36,1.081178546
1,37,7.6480817795
1,38,4.4727993011
1,39,4.5742549896
1,40,5.5059056282
1,41,2.0204076767
1,42,5.4380116463
1,43,2.9981603622
1,44,4.6910948753
1,45,8.5865335464
1,46,4.7136459351
1,47,3.3508915901
1,48,0.75561505556
1,49,6.5279684067
1,50,3.4089148045
1,51,6.4931907654
1,52,4.3009901047
1,53,5.1802067757
1,54,7.6452755928
1,55,-0.22729295492
1,56,5.3638496399
1,57,6.6159520149
1,58,0.7919690609
1,59,7.1076855659
1,60,7.859808445
1,61,5.1133446693
1,62,4.6506047249
1,63,5.0751328468
1,64,4.590780735
1,65,3.8975226879
1,66,4.041870594
1,67,4.9897880554
1,68,4.5319867134
1,69,4.6166510582
1,70,1.174456954
1,71,7.8284435272
1,72,8.6824731827
1,73,-0.15983188152
1,74,7.8085079193
1,75,7.4575052261
1,76,5.1420741081
1,77,0.7417691946
1,78,3.5350863934
1,79,8.9488992691
1,80,7.4200048447
1,81,4.8755617142
1,82,1.9871361256
1,83,2.3047356606
1,84,5.0353455544
1,85,2.4463858604
1,86,3.8107438087
1,87,8.9981098175
1,88,2.2192246914
1,89,0.71765744686
1,90,9.5361328125
1,91,1.9460473061
1,92,1.9960134029
1,93,4.4708848
1,94,7.2547192574
1,95,3.6569662094
1,96,6.2662057877
1,97,1.1365976334
1,98,3.3978786469
1,99,4.7724661827
1,100,6.612719059
1,101,5.8930268288
1,102,4.9936814308
1,103,4.1666789055
1,104,8.7294130325
1,105,3.4906377792
1,106,4.3095002174
1,107,1.6937508583
1,108,5.624502182
1,109,1.836613059
1,110,0.83442008495
1,111,8.8039445877
1,112,5.2761082649
1,113,6.6039700508
1,114,8.3818740845
1,115,0.85721135139
1,116,9.845287323
1,117,6.6680569649
1,118,6.6413741112
1,119,5.8018760681
1,120,4.4690723419
1,121,3.6363320351
1,122,2.2291998863
1,123,1.3340857029
1,124,6.4947185516
1,125,5.732922554
1,126,6.1642785072
1,127,6.9297657013
1,128,4.4774084091
1,129,5.1143751144
1,130,4.910171032
1,131,1.6038775444
1,132,6.4718236923
1,133,7.0944304466
1,134,4.106669426
1,135,7.2339839935
1,136,3.4388206005
1,137,4.8543148041
1,138,7.4503974915
1,139,6.0217232704
1,140,6.8590993881
1,141,3.7742547989
1,142,6.2915124893
1,143,1.9637643099
1,144,4.2377552986
1,145,7.378203392
1,146,8.0497236252
1,147,1.403386116
1,148,4.7540154457
1,149,8.8847446442
1,150,2.6441223621
1,151,7.4364285469
1,152,0.73904335499
1,153,3.0009641647
1,154,5.9791426659
1,155,5.8845582008
1,156,4.5273313522
1,157,0.86161869764
1,158,4.1128330231
1,159,5.33776474
1,160,3.6535215378
1,161,2.4985146523
1,162,5.4480500221
1,163,3.7247924805
1,164,1.1497163773
1,165,7.8127512932
1,166,4.9782648087
1,167,8.6267814636
1,168,1.2899224758
1,169,5.1567497253
1,170,1.9004319906
1,171,7.6073069572
1,172,6.9501218796
1,173,8.4966087341
1,174,1.2943080664
1,175,8.1635437012
1,176,4.0503411293
1,177,5.4010739326
1,178,5.8139576912
1,179,0.95045763254
1,180,2.9854032993
1,181,5.7575130463
1,182,9.012389183
1,183,3.6809763908
1,184,4.7620415688
1,185,2.5713772774
1,186,8.6290330887
1,187,6.8402376175
1,188,7.397608757
1,189,4.1421089172
1,190,0.4212179184
1,191,7.389746666
1,192,5.467710495
1,193,6.469950676
1,194,8.1666889191
1,195,5.7453417778
1,196,1.1836178303
1,197,1.6157597303
1,198,5.8871512413
1,199,2.998319149
1,200,1.6344614029
1,201,3.5616660118
1,202,5.7483797073
1,203,2.0926499367
1,204,5.7387485504
1,205,3.087905407
1,206,7.2904114723
1,207,1.8815257549
1,208,4.5184731483
1,209,6.5397901535
1,210,0.77188503742
1,211,6.3372530937
1,212,2.5379881859
1,213,3.4015102386
1,214,9.49974823
1,215,2.8243319988
1,216,8.2195253372
1,217,5.1477046013
1,218,3.0379011631
1,219,4.6138939857
1,220,4.7251143456
1,221,4.9366173744
1,222,4.4294524193
1,223,6.023648262
1,224,0.16961979866
1,225,4.1330866814
1,226,4.8485703468
1,227,2.8970077038
1,228,3.4233529568
1,229,2.0616981983
1,230,2.6983470917
1,231,0.30731159449
1,232,6.2720284462
1,233,3.6357784271
1,234,6.4453725815
1,235,6.8365797997
1,236,7.2014727592
1,237,0.68601310253
1,238,3.5913395882
1,239,3.0788505077
1,240,1.773099184
1,241,5.9524641037
1,242,8.9322776794
1,243,6.508228302
1,244,6.3979902267
1,245,5.2787313461
1,246,3.4559566975
1,247,2.5142099857
1,248,2.2910606861
1,249,5.2879137993
1,250,4.3996610641
1,251,4.9069194794
1,252,5.1476898193
1,253,4.4820580482
1,254,6.052593708
1,255,1.2499892712
1,256,9.7728462219
1,257,3.1973619461
1,258,7.3019256592
1,259,8.560754776
1,260,5.77551651
1,261,2.7962522507
1,262,5.6755290031
1,263,5.2094578743
1,264,3.9604501724
1,265,4.2030220032
1,266,3.8718659878
1,267,1.2112444639
1,268,8.45287323
1,269,4.0085859299
1,270,5.7542109489
1,271,8.5811595917
1,272,2.4610285759
1,273,5.4821810722
1,274,2.7341120243
1,275,3.4628689289
1,276,6.6324191093
1,277,5.2411022186
1,278,4.0695829391
1,279,5.2745375633
1,280,2.1979322433
1,281,1.3901447058
1,282,2.337501049
1,283,2.5893545151
1,284,4.5446915627
1,285,4.0458421707
1,286,4.3565158844
1,287,7.0759606361
1,288,3.1555242538
1,289,6.5804991722
1,290,4.1010766029
1,291,0.64926457405
1,292,5.0524892807
1,293,4.2914443016
1,294,1.3409266472
1,295,2.152105093
1,296,2.7935414314
1,297,2.1086568832
1,298,3.6436386108
1,299,4.6714177132
1,300,6.2959523201
1,301,5.9872345924
1,302,7.5942621231
1,303,1.2200120687
1,304,4.3713374138
1,305,4.139421463
1,306,1.5938777924
1,307,5.455909729
1,308,6.9290533066
1,309,5.7684378624
1,310,9.313334465
1,311,3.058838129
1,312,6.4627928734
1,313,3.4879202843
1,314,2.3655061722
1,315,8.2947626114
1,316,5.6265974045
1,317,0.5639257431
1,318,7.3451929092
1,319,5.2206439972
1,320,2.0844483376
1,321,5.1889419556
1,322,6.6487512589
1,323,5.3246927261
1,324,7.8922042847
1,325,4.3477830887
1,326,9.013674736
1,327,9.3124170303
1,328,5.0741167068
1,329,6.8329005241
1,330,2.2096738815
1,331,6.1010808945
1,332,6.9096608162
1,333,8.5571298599
1,334,8.4489450455
1,335,0.97138357162
1,336,8.1378393173
1,337,6.7117195129
1,338,1.8051764965
1,339,3.3643956184
1,340,4.3795428276
1,341,8.152920723
1,342,7.6188006401
1,343,8.869685173
1,344,2.765673399
1,345,3.8825397491
1,346,5.8302507401
1,347,6.5616183281
1,348,7.8986272812
1,349,4.4947662354
1,350,5.1465215683
1,351,6.880964756
1,352,2.8764750957
1,353,1.8209522963
1,354,5.6290955544
1,355,5.6290326118
1,356,6.647526741
1,357,3.401856184
1,358,2.497289896
1,359,0.70924508572
1,360,6.7241287231
1,361,6.4883103371
1,362,5.8254055977
1,363,2.7942910194
1,364,4.41867733
1,365,7.5716052055
1,366,0.25520655513
1,367,4.0995602608
1,368,8.0452528
1,369,6.5633339882
1,370,1.1058607101
1,371,4.9329881668
1,372,5.974319458
1,373,3.269715786
1,374,8.1063861847
1,375,7.4845728874
1,376,7.320745945
1,377,3.6348936558
1,378,3.2728135586
1,379,6.8701848984
1,380,2.4682416916
1,381,7.2566890717
1,382,0.14435970783
1,383,3.355130434
1,384,4.7767629623
1,385,5.6139626503
1,386,3.360830307
1,387,4.8860111237
1,388,8.8817949295
1,389,5.3067603111
1,390,2.1346874237
1,391,5.5686969757
1,392,10.51421833
1,393,1.3515849113
1,394,5.6327753067
1,395,1.4785219431
1,396,10.163560867
1,397,7.0744652748
1,398,0.091461539268
1,399,3.4975328445
1,400,6.5980606079
1,401,7.0008478165
1,402,7.158446312
1,403,4.2940411568
1,404,10.042585373
1,405,4.2784228325
1,406,2.3921346664
1,407,7.8827052116
1,408,7.8007092476
1,409,4.1933841705
1,410,4.9560599327
1,411,1.534501791
1,412,4.4071173668
1,413,6.6775393486
1,414,2.7885625362
1,415,3.1168031693
1,416,6.786567688
1,417,4.3455133438
1,418,5.7545084953
1,419,7.4852561951
1,420,8.240354538
1,421,6.7243652344
1,422,4.1107983589
1,423,3.5388431549
1,424,6.3413624763
1,425,6.5949935913
1,426,0.9041326046
1,427,6.4170427322
1,428,4.2384634018
1,429,4.8098287582
1,430,9.519654274
1,431,3.9136481285
1,432,4.2942829132
1,433,7.7512369156
1,434,8.1487159729
1,435,3.3458843231
1,436,7.0001721382
1,437,3.2715609074
1,438,8.4273223877
1,439,0.52247905731
1,440,9.5426301956
1,441,7.3161077499
1,442,6.4969673157
1,443,2.0080134869
1,444,4.3277339935
1,445,9.0124568939
1,446,3.4944753647
1,447,8.9036111832
1,448,3.6852657795
1,449,4.0875492096
1,450,6.8913416862
1,451,5.723051548
1,452,1.2536846399
1,453,10.002483368
1,454,4.555015564
1,455,4.4496917725
1,456,5.1424350739
1,457,0.79440975189
1,458,2.9989497662
1,459,6.1248345375
1,460,4.6202654839
1,461,2.4240717888
1,462,9.3133955002
1,463,8.4034996033
1,464,7.9825310707
1,465,7.3326430321
1,466,8.6744832993
1,467,3.7653856277
1,468,4.5503058434
1,469,2.1091742516
1,470,3.0428314209
1,471,9.4529685974
1,472,4.5746641159
1,473,2.3246695995
1,474,6.7998013496
1,475,6.1502966881
1,476,3.58679533
1,477,8.2848091125
1,478,4.9020524025
1,479,7.1488513947
1,480,2.9293570518
1,481,6.5084557533
1,482,2.5371878147
1,483,5.2820076942
1,484,5.2917108536
1,485,6.1928157806
1,486,8.9500465393
1,487,4.0198078156
1,488,7.1431627274
1,489,2.3483257294
1,490,4.7939815521
1,491,2.8630304337
1,492,3.322991848
1,493,7.5309667587
1,494,2.8361468315
1,495,7.3596277237
1,496,1.6613131762
1,497,8.619342804
1,498,4.1419248581
1,499,5.0359945297
1,500,8.7925338745
1,501,4.0181760788
1,502,9.3745937347
1,503,5.0172934532
1,504,5.6324615479
1,505,7.9607191086
1,506,4.6142416
1,507,6.3072185516
1,508,3.2215893269
1,509,7.4122772217
1,510,7.2680039406
1,511,4.3232393265
1,512,8.6399879456
1,513,3.1278176308
1,514,8.0939350128
1,515,4.715546608
1,516,3.1426224709
1,517,8.3790502548
1,518,5.5217065811
1,519,1.5349736214
1,520,8.2619628906
1,521,1.58060956
1,522,6.5694446564
1,523,3.3134388924
1,524,6.7260127068
1,525,7.0987701416
1,526,6.7476210594
1,527,5.4233341217
1,528,5.6145920753
1,529,0.66952037811
1,530,1.7149641514
1,531,0.59499561787
1,532,9.1187896729
1,533,1.1248041391
1,534,8.6203899384
1,535,5.7946639061
1,536,4.6554718018
1,537,7.258556366
1,538,2.7631020546
1,539,2.2659499645
1,540,5.047712326
1,541,0.98313230276
1,542,5.7867288589
1,543,0.93294155598
1,544,6.2076177597
1,545,3.8598473072
1,546,5.737528801
1,547,1.5301692486
1,548,2.1788887978
1,549,5.7468147278
1,550,4.0647516251
1,551,2.6816308498
1,552,3.9167528152
1,553,9.9451389313
1,554,0.51218378544
1,555,8.668970108
1,556,2.8258087635
1,557,1.1052290201
1,558,7.3085689545
1,559,6.2638578415
1,560,2.3906321526
1,561,5.1887693405
1,562,5.8285489082
1,563,9.2344789505
1,564,8.1239128113
1,565,2.5567166805
1,566,1.5227741003
1,567,0.90888667107
1,568,2.678535223
1,569,8.3693819046
1,570,0.56511545181
1,571,8.7506141663
1,572,5.440454483
1,573,0.75346148014
1,574,4.3940143585
1,575,3.765209198
1,576,9.6410245895
1,577,2.4128072262
1,578,4.4229178429
1,579,2.2270121574
1,580,6.6285820007
1,581,4.7354941368
1,582,8.7720766068
1,583,2.3408830166
1,584,6.4984064102
1,585,3.3913302422
1,586,3.9986162186
1,587,5.4544463158
1,588,1.9977884293
1,589,8.4380922318
1,590,3.2252266407
1,591,5.676448822
1,592,8.6572809219
1,593,8.3358259201
1,594,7.2365422249
1,595,5.6270303726
1,596,7.8465662003
1,597,4.5164809227
1,598,6.0069041252
1,599,8.0692548752
1,600,6.3176283836
1,601,5.8188323975
1,602,4.8525300026
1,603,3.5053143501
1,604,4.9811854362
1,605,4.492120266
1,606,1.6467093229
1,607,6.0726652145
1,608,3.2578248978
1,609,7.1341900826
1,610,1.2213295698
1,611,0.60949236155
1,612,4.3737440109
1,613,6.9365401268
1,614,0.73333644867
1,615,9.1359596252
1,616,3.9663796425
1,617,4.8672089577
1,618,2.4780697823
1,619,9.4192295074
1,620,7.8159298897
1,621,3.1656684875
1,622,4.0799193382
1,623,3.5166304111
1,624,4.8968248367
1,625,7.8321123123
1,626,3.4120407104
1,627,6.436050415
1,628,3.5675773621
1,629,6.9164323807
1,630,8.3783864975
1,631,2.6018781662
1,632,1.0071818829
1,633,8.6636762619
1,634,2.0916101933
1,635,8.4445075989
1,636,3.2442564964
1,637,9.3701791763
1,638,4.5985088348
1,639,4.6619195938
1,640,7.2876300812
1,641,4.3634872437
1,642,4.6856355667
1,643,3.4854550362
1,644,5.4221286774
1,645,2.5541260242
1,646,5.2042789459
1,647,3.6452822685
1,648,7.6250915527
1,649,5.9467115402
1,650,2.8918659687
1,651,3.3742413521
1,652,7.2513923645
1,653,0.96029853821
1,654,4.3812308311
1,655,6.3452343941
1,656,3.1162500381
1,657,4.8685317039
1,658,2.758259058
1,659,4.8050985336
1,660,3.7558746338
1,661,5.7309031487
1,662,10.015228271
1,663,7.6716132164
