Ejecucion,Indice,Valor
1,1,6.2666716576
1,2,8.1144742966
1,3,16.456203461
1,4,7.8941226006
1,5,24.926048279
1,6,23.450304031
1,7,28.270780563
1,8,15.489981651
1,9,28.64406395
1,10,19.944068909
1,11,29.586355209
1,12,13.844735146
1,13,11.053811073
1,14,27.393531799
1,15,8.6940526962
1,16,23.224187851
1,17,23.98559761
1,18,19.755659103
1,19,12.390336037
1,20,6.5608096123
1,21,30.40278244
1,22,23.289108276
1,23,23.100229263
1,24,11.435647011
1,25,9.9593153
1,26,32.212089539
1,27,25.039247513
1,28,7.1846170425
1,29,20.658994675
1,30,11.259726524
1,31,16.713085175
1,32,24.313770294
1,33,8.318572998
1,34,9.8844804764
1,35,4.2152118683
1,36,24.273292542
1,37,12.704403877
1,38,15.787555695
1,39,18.837488174
1,40,6.2929244041
1,41,14.85091877
1,42,14.590473175
1,43,17.057842255
1,44,28.479223251
1,45,12.601239204
1,46,13.317882538
1,47,6.7188644409
1,48,22.5090065
1,49,14.19708252
1,50,25.746343613
1,51,15.08677578
1,52,19.27828598
1,53,20.078035355
1,54,6.0918111801
1,55,18.537044525
1,56,23.960327148
1,57,7.1377511024
1,58,25.77412796
1,59,26.573890686
1,60,18.160430908
1,61,16.488304138
1,62,20.985452652
1,63,11.605965614
1,64,14.492605209
1,65,8.3839454651
1,66,20.463338852
1,67,12.754585266
1,68,17.509901047
1,69,7.3034672737
1,70,24.244146347
1,71,25.986448288
1,72,1.7244750261
1,73,29.251274109
1,74,23.567792892
1,75,14.247958183
1,76,3.7442927361
1,77,15.702537537
1,78,30.191431046
1,79,24.472206116
1,80,19.359548569
1,81,7.4189858437
1,82,8.8228721619
1,83,12.060513496
1,84,5.5021929741
1,85,16.18248558
1,86,25.204494476
1,87,10.446809769
1,88,7.789129734
1,89,30.675573349
1,90,4.2672457695
1,91,5.5811471939
1,92,18.155792236
1,93,22.741285324
1,94,14.840187073
1,95,15.527258873
1,96,8.8136396408
1,97,6.5186233521
1,98,19.367816925
1,99,23.969285965
1,100,17.943117142
1,101,20.864347458
1,102,14.816700935
1,103,22.572580338
1,104,13.505239487
1,105,10.210754395
1,106,6.9156813622
1,107,15.784023285
1,108,3.3235857487
1,109,5.9146962166
1,110,28.234798431
1,111,18.611509323
1,112,20.636201859
1,113,24.684949875
1,114,9.9572687149
1,115,31.122028351
1,116,21.302001953
1,117,23.543998718
1,118,15.793533325
1,119,14.97253418
1,120,8.1087284088
1,121,3.3192577362
1,122,7.2231888771
1,123,20.095882416
1,124,23.876588821
1,125,18.710546494
1,126,23.700536728
1,127,11.655823708
1,128,18.700187683
1,129,16.836755753
1,130,3.7390060425
1,131,22.805841446
1,132,22.441160202
1,133,17.407709122
1,134,24.962417603
1,135,10.029465675
1,136,13.811531067
1,137,28.095554352
1,138,22.452005386
1,139,21.581495285
1,140,16.69801712
1,141,20.93598175
1,142,10.110097885
1,143,17.23128891
1,144,21.428577423
1,145,23.715738297
1,146,4.5228261948
1,147,16.45659256
1,148,25.367422104
1,149,7.6946773529
1,150,22.492547989
1,151,5.8969869614
1,152,11.072865486
1,153,23.586797714
1,154,24.679981232
1,155,12.349463463
1,156,4.2043352127
1,157,14.272551537
1,158,18.373249054
1,159,9.37271595
1,160,11.819883347
1,161,21.217411041
1,162,12.106038094
1,163,9.554693222
1,164,27.786304474
1,165,20.299301147
1,166,24.97351265
1,167,5.3269286156
1,168,16.436830521
1,169,12.067248344
1,170,26.578020096
1,171,24.990812302
1,172,23.950159073
1,173,11.344787598
1,174,27.015203476
1,175,14.621234894
1,176,20.053958893
1,177,21.425794601
1,178,6.0086493492
1,179,12.129457474
1,180,24.47785759
1,181,26.569803238
1,182,14.873046875
1,183,17.993749619
1,184,13.306459427
1,185,24.922689438
1,186,20.725709915
1,187,26.914834976
1,188,11.672862053
1,189,5.7432746887
1,190,25.225126266
1,191,20.01914978
1,192,22.451154709
1,193,29.935085297
1,194,14.921431541
1,195,4.7507586479
1,196,6.9892988205
1,197,21.346658707
1,198,5.7132954597
1,199,5.6682214737
1,200,11.897406578
1,201,15.152235031
1,202,3.0004091263
1,203,19.794984818
1,204,12.822690964
1,205,19.609334946
1,206,12.150769234
1,207,15.822903633
1,208,23.569429398
1,209,5.5577292442
1,210,20.318525314
1,211,10.386149406
1,212,17.8770504
1,213,25.418170929
1,214,13.569217682
1,215,22.6101017
1,216,17.925300598
1,217,14.337739944
1,218,12.325404167
1,219,11.846981049
1,220,15.918983459
1,221,19.443912506
1,222,13.580801964
1,223,5.1676769257
1,224,13.520798683
1,225,18.137090683
1,226,11.033894539
1,227,13.643149376
1,228,2.7520487309
1,229,8.74929142
1,230,2.6437101364
1,231,21.787889481
1,232,11.617728233
1,233,17.74271965
1,234,26.506353378
1,235,19.091228485
1,236,3.5420176983
1,237,12.991089821
1,238,6.2979545593
1,239,6.7690505981
1,240,18.88417244
1,241,29.906078339
1,242,19.677381516
1,243,25.077011108
1,244,15.106548309
1,245,4.9986958504
1,246,7.6816945076
1,247,4.5672688484
1,248,19.160215378
1,249,13.242556572
1,250,18.147689819
1,251,20.587907791
1,252,13.364923477
1,253,15.060528755
1,254,7.9857640266
1,255,29.481632233
1,256,12.983719826
1,257,23.036003113
1,258,25.432941437
1,259,21.338531494
1,260,14.435317039
1,261,14.537746429
1,262,19.37181282
1,263,11.416433334
1,264,17.663005829
1,265,6.6945981979
1,266,9.4887723923
1,267,23.748403549
1,268,17.109502792
1,269,22.516572952
1,270,26.886508942
1,271,8.2132024765
1,272,20.129917145
1,273,5.0273313522
1,274,11.858219147
1,275,18.598344803
1,276,18.951091766
1,277,18.410547256
1,278,18.489105225
1,279,9.3509340286
1,280,6.9819688797
1,281,4.4588050842
1,282,9.5760364532
1,283,19.324438095
1,284,9.5121412277
1,285,18.028802872
1,286,26.335216522
1,287,8.764881134
1,288,23.739212036
1,289,14.523991585
1,290,6.4060759544
1,291,18.138967514
1,292,8.7544269562
1,293,6.1760725975
1,294,8.8724918365
1,295,5.8916430473
1,296,7.8205375671
1,297,12.325201035
1,298,14.805657387
1,299,20.330112457
1,300,19.738651276
1,301,26.964448929
1,302,7.0969204903
1,303,15.035003662
1,304,15.76954174
1,305,8.9295606613
1,306,15.177331924
1,307,23.780786514
1,308,19.866039276
1,309,27.42329216
1,310,11.731864929
1,311,24.592990875
1,312,9.9133825302
1,313,13.196975708
1,314,24.815832138
1,315,15.284836769
1,316,4.3820023537
1,317,23.124353409
1,318,20.47461319
1,319,8.5630540848
1,320,20.214349747
1,321,24.667772293
1,322,24.561143875
1,323,25.571439743
1,324,20.901414871
1,325,29.413711548
1,326,28.805664062
1,327,18.433681488
1,328,23.420898438
1,329,5.9340863228
1,330,21.405744553
1,331,25.287214279
1,332,29.716207504
1,333,27.266670227
1,334,5.3149237633
1,335,28.930973053
1,336,19.570335388
1,337,3.4169547558
1,338,10.791302681
1,339,21.054660797
1,340,24.479124069
1,341,30.57399559
1,342,26.971076965
1,343,10.747837067
1,344,13.134332657
1,345,21.124706268
1,346,27.900846481
1,347,26.57582283
1,348,13.567489624
1,349,16.551874161
1,350,22.168210983
1,351,10.659686089
1,352,7.8255934715
1,353,18.366027832
1,354,19.313035965
1,355,16.557613373
1,356,12.38506031
1,357,5.8209495544
1,358,4.8832855225
1,359,22.244112015
1,360,23.250707626
1,361,18.80569458
1,362,8.5247373581
1,363,17.512609482
1,364,21.720006943
1,365,7.2226381302
1,366,12.043330193
1,367,28.122764587
1,368,21.958965302
1,369,4.7338190079
1,370,18.405479431
1,371,17.560159683
1,372,10.91904068
1,373,26.394678116
1,374,29.949895859
1,375,23.819946289
1,376,10.751605034
1,377,13.096161842
1,378,20.503156662
1,379,7.6165676117
1,380,20.921251297
1,381,4.8553786278
1,382,12.721530914
1,383,19.081506729
1,384,21.962936401
1,385,8.4484968185
1,386,21.354757309
1,387,27.406959534
1,388,15.637766838
1,389,4.3241233826
1,390,21.184423447
1,391,31.284269333
1,392,3.2657079697
1,393,17.46036911
1,394,7.4852018356
1,395,32.240024567
1,396,19.916143417
1,397,3.8670361042
1,398,12.569547653
1,399,19.814170837
1,400,23.011865616
1,401,21.148902893
1,402,20.519323349
1,403,32.88841629
1,404,11.101495743
1,405,14.240755081
1,406,21.604608536
1,407,30.469945908
1,408,12.401457787
1,409,14.887181282
1,410,5.5032525063
1,411,14.5411129
1,412,16.718610764
1,413,10.553069115
1,414,7.6046905518
1,415,20.06864357
1,416,14.877904892
1,417,21.231176376
1,418,32.269405365
1,419,27.80232048
1,420,23.828134537
1,421,18.152820587
1,422,10.064101219
1,423,22.799062729
1,424,19.049081802
1,425,8.6002178192
1,426,17.30945015
1,427,16.219732285
1,428,21.549480438
1,429,29.564218521
1,430,13.388039589
1,431,16.018728256
1,432,23.346405029
1,433,29.911174774
1,434,10.113500595
1,435,17.730712891
1,436,8.5005683899
1,437,21.870382309
1,438,7.0022988319
1,439,31.030227661
1,440,24.851690292
1,441,16.851715088
1,442,9.0197763443
1,443,18.685203552
1,444,26.092247009
1,445,15.971428871
1,446,30.378284454
1,447,10.242230415
1,448,11.73606205
1,449,18.084501266
1,450,20.362895966
1,451,12.039198875
1,452,27.946746826
1,453,13.676135063
1,454,11.075028419
1,455,17.24842453
1,456,6.8328075409
1,457,10.583861351
1,458,19.66758728
1,459,12.669841766
1,460,10.014487267
1,461,27.736118317
1,462,26.879428864
1,463,26.613462448
1,464,24.37975502
1,465,30.465051651
1,466,13.009176254
1,467,16.102117538
1,468,8.9098329544
1,469,8.400967598
1,470,30.732614517
1,471,12.159581184
1,472,12.245534897
1,473,19.666007996
1,474,18.260507584
1,475,10.168955803
1,476,27.225122452
1,477,14.915765762
1,478,22.13142395
1,479,15.21603775
1,480,18.7231884
1,481,9.9978303909
1,482,20.681341171
1,483,15.184287071
1,484,22.12620163
1,485,29.576034546
1,486,15.482647896
1,487,22.920240402
1,488,6.9750566483
1,489,15.889305115
1,490,7.4180970192
1,491,9.7585582733
1,492,20.211334229
1,493,11.243765831
1,494,22.45154953
1,495,7.5979385376
1,496,28.388893127
1,497,15.403101921
1,498,19.943716049
1,499,24.909406662
1,500,20.420642853
1,501,27.424734116
1,502,14.965055466
1,503,19.879470825
1,504,25.427219391
1,505,13.423676491
1,506,18.075037003
1,507,13.736535072
1,508,27.856555939
1,509,23.125131607
1,510,17.68810463
1,511,23.978845596
1,512,14.566838264
1,513,27.643230438
1,514,12.465332985
1,515,9.0764713287
1,516,25.782077789
1,517,15.037265778
1,518,9.3421783447
1,519,28.935247421
1,520,3.1815123558
1,521,23.862718582
1,522,11.789156914
1,523,25.79091835
1,524,28.827554703
1,525,22.449819565
1,526,22.135120392
1,527,15.088655472
1,528,4.5546088219
1,529,3.7085125446
1,530,4.028523922
1,531,29.905918121
1,532,5.5341887474
1,533,26.805738449
1,534,22.355918884
1,535,15.893766403
1,536,20.595907211
1,537,13.041978836
1,538,9.8517379761
1,539,14.526778221
1,540,6.4929499626
1,541,17.690950394
1,542,2.1492619514
1,543,21.578029633
1,544,18.007492065
1,545,13.723813057
1,546,4.3195257187
1,547,8.0946187973
1,548,21.068910599
1,549,14.730082512
1,550,9.3853416443
1,551,11.458258629
1,552,26.628332138
1,553,4.8623127937
1,554,29.581136703
1,555,7.6553630829
1,556,8.8616895676
1,557,20.950157166
1,558,24.373920441
1,559,7.7148218155
1,560,20.310728073
1,561,20.665430069
1,562,31.316364288
1,563,24.483968735
1,564,6.1564064026
1,565,4.5541052818
1,566,2.3338987827
1,567,11.77099514
1,568,20.512601852
1,569,7.9383029938
1,570,26.022397995
1,571,18.663825989
1,572,7.187980175
1,573,12.14303875
1,574,10.886167526
1,575,30.191314697
1,576,7.5444955826
1,577,12.075149536
1,578,12.112794876
1,579,23.742137909
1,580,18.269168854
1,581,23.810947418
1,582,10.556606293
1,583,15.813298225
1,584,8.4632501602
1,585,13.658946037
1,586,19.34526825
1,587,11.865736961
1,588,24.432754517
1,589,14.343148232
1,590,23.866638184
1,591,32.763816833
1,592,27.887208939
1,593,26.519990921
1,594,23.89408493
1,595,24.517202377
1,596,21.05437088
1,597,19.014316559
1,598,26.406093597
1,599,18.928186417
1,600,14.827218056
1,601,11.850991249
1,602,7.4059042931
1,603,16.953731537
1,604,17.725503922
1,605,9.6535787582
1,606,18.327344894
1,607,15.499271393
1,608,19.752361298
1,609,4.9585523605
1,610,1.0253919363
1,611,18.305696487
1,612,20.29990387
1,613,9.9387407303
1,614,28.39563179
1,615,14.071339607
1,616,17.702058792
1,617,9.89133358
1,618,29.639060974
1,619,23.19462204
1,620,10.637946129
1,621,7.7007040977
1,622,7.7615947723
1,623,17.675840378
1,624,21.46723938
1,625,13.656400681
1,626,18.358146667
1,627,10.820393562
1,628,25.530111313
1,629,27.860048294
1,630,5.874060154
1,631,5.8925876617
1,632,24.10172081
1,633,14.93208313
1,634,22.628986359
1,635,19.849348068
1,636,27.222902298
1,637,18.480220795
1,638,20.750026703
1,639,28.746454239
1,640,15.038452148
1,641,17.20589447
1,642,6.8609499931
1,643,14.550649643
1,644,5.0334219933
1,645,18.812801361
1,646,16.838088989
1,647,24.483600616
