Ejecucion,Indice,Valor
1,1,33.5
1,2,-47.25
1,3,-3.234375
1,4,-0.609375
1,5,-13.375
1,6,-24.0
1,7,-12.9375
1,8,-16.0
1,9,-8.3125
1,10,-1.6953125
1,11,-0.96484375
1,12,3.0625
1,13,1.140625
1,14,3.59375
1,15,-0.56640625
1,16,-7.09375
1,17,-5.03125
1,18,-4.625
1,19,-7.34375
1,20,5.71875
1,21,-1.890625
1,22,3.234375
1,23,1.9140625
1,24,-2.359375
1,25,-6.46875
1,26,0.625
1,27,7.34375
1,28,1.1484375
1,29,0.44921875
1,30,2.734375
1,31,2.59375
1,32,0.107421875
1,33,3.71875
1,34,-3.421875
1,35,4.0625
1,36,4.9375
1,37,0.65625
1,38,0.66796875
1,39,1.59375
1,40,3.984375
1,41,7.53125
1,42,3.203125
1,43,2.390625
1,44,-4.21875
1,45,0.44140625
1,46,-2.359375
1,47,-1.765625
1,48,-2.3125
1,49,0.109375
1,50,3.578125
1,51,-3.296875
1,52,-5.6875
1,53,-3.203125
1,54,-1.578125
1,55,1.390625
1,56,3.234375
1,57,-0.515625
1,58,0.28125
1,59,2.78125
1,60,-4.84375
1,61,-1.7890625
1,62,1.5546875
1,63,-1.5546875
1,64,-1.9921875
1,65,-2.09375
1,66,-5.0625
1,67,1.546875
1,68,-1.8359375
1,69,3.234375
1,70,0.578125
1,71,0.75
1,72,2.21875
1,73,-0.80859375
1,74,2.578125
1,75,1.2890625
1,76,-1.2890625
1,77,0.023071289062
1,78,-0.6875
1,79,-0.32421875
1,80,0.63671875
1,81,2.078125
1,82,2.359375
1,83,-2.359375
1,84,-2.296875
1,85,1.7890625
1,86,-0.8203125
1,87,-2.890625
1,88,1.3984375
1,89,0.026000976562
1,90,-1.0546875
1,91,5.53125
1,92,2.640625
1,93,2.375
1,94,-2.5625
1,95,5.5
1,96,7.84375
1,97,-1.9140625
1,98,4.40625
1,99,-1.3984375
1,100,-1.53125
1,101,4.1875
1,102,-0.8125
1,103,0.1650390625
1,104,0.020141601562
1,105,1.9609375
1,106,0.4609375
1,107,3.390625
1,108,-1.3046875
1,109,0.71484375
1,110,-1.6015625
1,111,-2.234375
1,112,-3.6875
1,113,-0.5234375
1,114,2.75
1,115,-1.390625
1,116,1.7890625
1,117,-1.1328125
1,118,-3.578125
1,119,2.015625
1,120,5.59375
1,121,3.640625
1,122,-2.640625
1,123,1.953125
1,124,-0.671875
1,125,-0.208984375
1,126,2.75
1,127,-2.546875
1,128,-0.52734375
1,129,1.9296875
1,130,0.84765625
1,131,1.53125
1,132,2.890625
1,133,0.035400390625
1,134,-0.470703125
1,135,0.54296875
1,136,1.953125
1,137,-3.09375
1,138,1.171875
1,139,-4.3125
1,140,-0.91796875
1,141,2.1875
1,142,0.96484375
1,143,3.109375
1,144,2.75
1,145,-1.890625
1,146,2.078125
1,147,-3.53125
1,148,-0.267578125
1,149,-0.047607421875
1,150,3.109375
1,151,-2.265625
1,152,3.6875
1,153,-3.390625
1,154,-3.328125
1,155,2.296875
1,156,-3.59375
1,157,3.140625
1,158,-1.953125
1,159,-1.8203125
1,160,3.671875
1,161,-7.75
1,162,1.859375
1,163,-3.90625
1,164,-1.484375
1,165,-0.9765625
1,166,-2.140625
1,167,-0.90625
1,168,2.9375
1,169,-0.431640625
1,170,0.08740234375
1,171,1.421875
1,172,-1.15625
1,173,-3.234375
1,174,1.4140625
1,175,3.421875
1,176,2.796875
1,177,1.46875
1,178,2.625
1,179,2.21875
1,180,2.53125
1,181,2.640625
1,182,-3.421875
1,183,6.65625
1,184,1.1796875
1,185,3.453125
1,186,-2.765625
1,187,-0.67578125
1,188,6.28125
1,189,-2.453125
1,190,-0.2734375
1,191,-1.671875
1,192,-4.15625
1,193,1.2265625
1,194,-0.51953125
1,195,0.73828125
1,196,-1.046875
1,197,-2.40625
1,198,-3.671875
1,199,0.7890625
1,200,-0.8828125
1,201,-0.019409179688
1,202,4.96875
1,203,0.87109375
1,204,-4.125
1,205,-3.140625
1,206,-10.8125
1,207,-2.84375
1,208,-1.484375
1,209,-3.375
1,210,-0.56640625
1,211,3.578125
1,212,2.890625
1,213,3.546875
1,214,4.0625
1,215,-2.046875
1,216,-0.98046875
1,217,0.55078125
1,218,-1.8359375
1,219,-1.2421875
1,220,-5.15625
1,221,-0.31640625
1,222,-1.421875
1,223,4.40625
1,224,-1.640625
1,225,4.5625
1,226,3.328125
1,227,0.91796875
1,228,-1.1640625
1,229,2.5625
1,230,-1.0234375
1,231,-1.5703125
1,232,10.0625
1,233,-0.578125
1,234,5.0625
1,235,2.84375
1,236,2.890625
1,237,3.859375
1,238,1.0078125
1,239,0.306640625
1,240,4.375
1,241,0.859375
1,242,-3.8125
1,243,1.0234375
1,244,-2.3125
1,245,1.3203125
1,246,-0.8828125
1,247,2.765625
1,248,0.56640625
1,249,-2.40625
1,250,-0.431640625
1,251,-1.203125
1,252,-1.28125
1,253,-1.3671875
1,254,-1.7734375
1,255,-2.640625
1,256,-0.54296875
1,257,1.28125
1,258,2.203125
1,259,2.953125
1,260,1.953125
1,261,-0.265625
1,262,0.66015625
