Ejecucion,Indice,Valor
1,1,267.5
1,2,-49.125
1,3,1.8701171875
1,4,-3.45703125
1,5,-5.06640625
1,6,-1.9482421875
1,7,2.48828125
1,8,-3.552734375
1,9,-1.2919921875
1,10,3.6875
1,11,-6.76953125
1,12,3.56640625
1,13,1.4462890625
1,14,0.6181640625
1,15,-1.677734375
1,16,-3.939453125
1,17,-0.51708984375
1,18,-3.681640625
1,19,-3.10546875
1,20,5.4765625
1,21,-0.470703125
1,22,0.097473144531
1,23,-1.3642578125
1,24,-2.39453125
1,25,-4.046875
1,26,-0.28198242188
1,27,3.765625
1,28,0.93017578125
1,29,1.833984375
1,30,5.25
1,31,2.966796875
1,32,-0.19714355469
1,33,3.1796875
1,34,-2.416015625
1,35,2.236328125
1,36,6.734375
1,37,0.8203125
1,38,0.5634765625
1,39,-0.25439453125
1,40,3.98828125
1,41,7.41796875
1,42,2.90625
1,43,1.5888671875
1,44,-3.681640625
1,45,0.81103515625
1,46,-2.8671875
1,47,-2.080078125
1,48,-1.8916015625
1,49,-0.64697265625
1,50,3.16015625
1,51,-3.087890625
1,52,-3.6640625
1,53,-2.98046875
1,54,-0.779296875
1,55,1.0458984375
1,56,3.560546875
1,57,-0.21862792969
1,58,1.76171875
1,59,3.130859375
1,60,-4.65234375
1,61,-3.578125
1,62,2.107421875
1,63,-1.849609375
1,64,-2.16015625
1,65,-1.2890625
1,66,-4.0703125
1,67,1.8515625
1,68,-1.2275390625
1,69,3.66015625
1,70,0.53662109375
1,71,0.5546875
1,72,2.826171875
1,73,-1.5888671875
1,74,2.908203125
1,75,1.5234375
1,76,-0.7197265625
1,77,0.45043945312
1,78,-0.55615234375
1,79,-0.654296875
1,80,0.25170898438
1,81,2.001953125
1,82,1.4091796875
1,83,-2.841796875
1,84,-1.3095703125
1,85,2.35546875
1,86,-1.2548828125
1,87,-2.79296875
1,88,2.3046875
1,89,0.65185546875
1,90,-1.5078125
1,91,4.8671875
1,92,3.0078125
1,93,2.537109375
1,94,-2.27734375
1,95,4.890625
1,96,7.12890625
1,97,-2.974609375
1,98,3.40234375
1,99,-1.5498046875
1,100,-1.0888671875
1,101,4.64453125
1,102,-0.68212890625
1,103,0.80224609375
1,104,0.93798828125
1,105,1.9072265625
1,106,0.84326171875
1,107,3.896484375
1,108,-1.5283203125
1,109,0.062683105469
1,110,-1.9951171875
1,111,-3.341796875
1,112,-4.51171875
1,113,-0.33032226562
1,114,2.87109375
1,115,-1.849609375
1,116,1.7890625
