Ejecucion,Fila,Columna,Valor
1,1,1,0.83483964205
1,1,2,1.7748352289
1,1,3,1.2069147825
1,1,4,0.60375493765
1,1,5,-1.357458353
1,1,6,2.594540596
1,1,7,-1.2071681023
1,1,8,0.68393099308
1,1,9,0.49545446038
1,1,10,0.86186379194
1,1,11,-0.8525609374
1,1,12,-2.5007472038
1,1,13,2.9455325603
1,1,14,2.3179302216
1,1,15,0.84333342314
1,1,16,-1.9979723692
1,1,17,-1.105369091
1,1,18,-0.46654438972
1,1,19,0.0085322689265
1,1,20,2.655397892
1,1,21,1.4176219702
1,1,22,-2.742061615
1,1,23,-1.8361586332
1,1,24,-0.64701080322
1,1,25,-1.2576572895
1,1,26,0.76863980293
1,1,27,-1.2219309807
1,1,28,0.33179688454
1,1,29,-1.4263207912
1,1,30,0.054208219051
1,1,31,3.0739963055
1,1,32,-0.38719916344
1,1,33,-2.2150485516
1,1,34,0.84553205967
1,1,35,0.3149279058
1,1,36,0.21824389696
1,1,37,1.8200857639
1,1,38,1.7564373016
1,1,39,0.019876673818
1,1,40,-0.34084576368
1,1,41,-0.55309027433
1,1,42,1.5412069559
1,1,43,0.96215987206
1,1,44,1.4744824171
1,1,45,0.83571130037
1,1,46,0.2161283344
1,1,47,0.81945258379
1,1,48,-0.59988129139
1,1,49,-0.36261898279
1,1,50,-1.0014603138
1,1,51,0.51851260662
1,1,52,0.98400586843
1,1,53,-0.46665614843
1,1,54,0.11736722291
1,1,55,1.1763455868
1,1,56,1.309800148
1,1,57,-0.045464571565
1,1,58,0.031512193382
1,1,59,0.4363501966
1,1,60,0.011484720744
1,1,61,-0.16919608414
1,1,62,-0.31298840046
1,1,63,1.9716752768
1,1,64,1.4282599688
1,1,65,-0.92819696665
1,1,66,-0.56161403656
1,1,67,-1.0074056387
1,1,68,0.9576997757
1,1,69,-1.1601369381
1,1,70,0.1315395385
1,1,71,1.0294064283
1,1,72,0.84776324034
1,1,73,0.18871746957
1,1,74,0.34437066317
1,1,75,1.1175613403
1,1,76,-0.68513089418
1,1,77,-0.60375726223
1,1,78,0.32354924083
1,1,79,0.067124292254
1,1,80,-0.48107543588
1,1,81,-0.13215170801
1,1,82,0.783197999
1,1,83,0.36869099736
1,1,84,0.12396043539
1,1,85,0.28897041082
1,1,86,-0.53770518303
1,1,87,-0.45633867383
1,1,88,-0.10982067138
1,1,89,0.11744190753
1,1,90,-0.59411388636
1,1,91,0.02244352363
1,1,92,0.53929167986
1,1,93,0.29957705736
1,1,94,-0.016928819939
1,1,95,-0.15126499534
1,1,96,0.47178429365
1,1,97,-0.26709493995
1,1,98,0.035074647516
1,1,99,-0.50160127878
1,1,100,-0.066567867994
1,1,101,-0.45340460539
1,1,102,-0.15298819542
1,1,103,-0.24767513573
1,1,104,0.030959581956
1,1,105,-0.32754409313
1,1,106,0.10340854526
1,1,107,0.43684366345
1,1,108,-0.12591098249
1,1,109,-0.22333230078
1,1,110,-0.039717622101
1,1,111,-0.057220198214
1,1,112,-0.0087910098955
1,1,113,-0.041588332504
1,1,114,-0.034366518259
1,1,115,-0.046699289232
1,1,116,-0.15913683176
1,1,117,-0.078074812889
1,1,118,0.033676084131
1,1,119,0.060377072543
1,1,120,0.12364103645
1,1,121,-0.089305922389
1,1,122,-0.017357330769
1,1,123,0.009736946784
1,1,124,-0.0094028254971
1,1,125,1.7269143427e-05
1,2,1,0.83266580105
1,2,2,1.9570606947
1,2,3,-2.9980914593
1,2,4,-0.61995851994
1,2,5,-0.58903414011
1,2,6,1.122833848
1,2,7,-2.0691437721
1,2,8,0.16319014132
1,2,9,2.2665929794
1,2,10,-0.022950269282
1,2,11,0.089883640409
1,2,12,1.9502953291
1,2,13,-2.9859116077
1,2,14,3.2504377365
1,2,15,-0.40277421474
1,2,16,-1.8819789886
1,2,17,0.28663599491
1,2,18,0.53488773108
1,2,19,1.487888813
1,2,20,-0.92778736353
1,2,21,-0.75408446789
1,2,22,2.2609581947
1,2,23,-0.67016303539
1,2,24,0.034222837538
1,2,25,0.014071110636
1,2,26,-3.071103096
1,2,27,-2.3481941223
1,2,28,1.0450687408
1,2,29,1.2430906296
1,2,30,0.55812996626
1,2,31,0.77453929186
1,2,32,0.023443864658
1,2,33,-2.1972339153
1,2,34,-1.1260648966
1,2,35,0.15500059724
1,2,36,-0.38547632098
1,2,37,0.20949108899
1,2,38,1.3084983826
1,2,39,-1.3784390688
1,2,40,0.99556231499
1,2,41,0.83310759068
1,2,42,-2.1532950401
1,2,43,1.6787126064
1,2,44,-2.4857091904
1,2,45,0.37018349767
1,2,46,1.1551380157
1,2,47,-0.14529548585
1,2,48,1.0054068565
1,2,49,0.4908221364
1,2,50,-1.0506947041
1,2,51,0.32895472646
1,2,52,0.8358181715
1,2,53,1.1166850328
1,2,54,-0.91994124651
1,2,55,-1.7202636003
1,2,56,-0.33261701465
1,2,57,0.75886940956
1,2,58,0.0054359878413
1,2,59,-0.65171712637
1,2,60,-0.083851322532
1,2,61,0.14765962958
1,2,62,-1.1797324419
1,2,63,1.2142660618
1,2,64,0.68319010735
1,2,65,-0.51072263718
1,2,66,-0.58754956722
1,2,67,0.68534445763
1,2,68,-0.028051858768
1,2,69,-0.042163215578
1,2,70,-0.38929831982
1,2,71,-0.41979649663
1,2,72,-0.55978578329
1,2,73,0.73689436913
1,2,74,0.1902179718
1,2,75,-0.42820313573
1,2,76,-1.0066398382
1,2,77,0.039319932461
1,2,78,0.14205867052
1,2,79,0.21462233365
1,2,80,-1.2171964645
1,2,81,0.14439545572
1,2,82,0.25171220303
1,2,83,-0.23995910585
1,2,84,0.78995233774
1,2,85,-0.65794217587
1,2,86,-0.19330981374
1,2,87,-0.37165093422
1,2,88,-0.2465467006
1,2,89,0.0076063200831
1,2,90,0.16786852479
1,2,91,-0.78742522001
1,2,92,-0.086055569351
1,2,93,0.48951858282
1,2,94,1.0703078508
1,2,95,-0.42503771186
1,2,96,-0.32636576891
1,2,97,-0.44033074379
1,2,98,-0.17520222068
1,2,99,0.14672765136
1,2,100,0.098835483193
1,2,101,0.1830856204
1,2,102,-0.19557991624
1,2,103,0.45980447531
1,2,104,-0.17739635706
1,2,105,-0.13837510347
1,2,106,-0.20309533179
1,2,107,-0.13214997947
1,2,108,0.05393890664
1,2,109,0.0073095676489
1,2,110,-0.037590444088
1,2,111,0.066242739558
1,2,112,-0.1044889167
1,2,113,-0.14891086519
1,2,114,0.079135708511
1,2,115,0.092248231173
1,2,116,-0.019563514739
1,2,117,0.047810476273
1,2,118,0.13606338203
1,2,119,0.074454337358
1,2,120,0.051941718906
1,2,121,0.091291308403
1,2,122,-0.053541585803
1,2,123,-0.017986880615
1,2,124,-0.0060330135748
1,2,125,-1.7924125132e-05
1,3,1,-1.1032464504
1,3,2,-2.5935819149
1,3,3,-0.47043821216
1,3,4,1.0054228306
1,3,5,-1.8699645996
1,3,6,-0.1541018486
1,3,7,-1.9231250286
1,3,8,-1.6691625118
1,3,9,1.8970384598
1,3,10,1.2202982903
1,3,11,1.3044022322
1,3,12,0.40482351184
1,3,13,-2.0676488876
1,3,14,0.8217536211
1,3,15,-2.0029776096
1,3,16,-0.36671236157
1,3,17,1.9196276665
1,3,18,0.023758221418
1,3,19,0.15285778046
1,3,20,-0.080078959465
1,3,21,1.2909559011
1,3,22,1.6517372131
1,3,23,-0.80112707615
1,3,24,-2.4347519875
1,3,25,1.5409190655
1,3,26,3.4692869186
1,3,27,0.28624635935
1,3,28,-1.6337478161
1,3,29,-0.18269826472
1,3,30,0.10499552637
1,3,31,-1.4616544247
1,3,32,2.6392836571
1,3,33,1.1871548891
1,3,34,2.0529649258
1,3,35,-0.61622422934
1,3,36,-1.0680880547
1,3,37,-0.28697419167
1,3,38,0.57896196842
1,3,39,1.2566781044
1,3,40,-1.9392552376
1,3,41,0.67776966095
1,3,42,-1.5280985832
1,3,43,-0.1924841404
1,3,44,-0.26934456825
1,3,45,0.34736680984
1,3,46,0.094686813653
1,3,47,-1.5728896856
1,3,48,0.25089731812
1,3,49,-0.050880759954
1,3,50,0.75177055597
1,3,51,-1.0718789101
1,3,52,0.68173706532
1,3,53,0.090781539679
1,3,54,-0.37750643492
1,3,55,1.4170740843
1,3,56,1.3469514847
1,3,57,0.36045736074
1,3,58,0.19141373038
1,3,59,0.51927030087
1,3,60,-0.81460851431
1,3,61,-0.23186005652
1,3,62,0.3820874393
1,3,63,-0.11892780662
1,3,64,-0.0011190307559
1,3,65,0.10227356106
1,3,66,1.3045060635
1,3,67,-1.501748085
1,3,68,1.4966397285
1,3,69,0.17447465658
1,3,70,1.3989152908
1,3,71,-0.30250188708
1,3,72,-0.44849234819
1,3,73,-0.25466018915
1,3,74,-0.56468099356
1,3,75,0.5559771657
1,3,76,0.21434654295
1,3,77,-0.27357283235
1,3,78,0.32227247953
1,3,79,0.23047992587
1,3,80,-0.20760993659
1,3,81,-0.10079176724
1,3,82,-0.42630419135
1,3,83,0.39836570621
1,3,84,-0.095044836402
1,3,85,0.3762897253
1,3,86,-0.65854656696
1,3,87,-0.91958129406
1,3,88,-0.34728068113
1,3,89,0.2520493567
1,3,90,0.67319887877
1,3,91,-0.41356039047
1,3,92,0.45623108745
1,3,93,0.61625760794
1,3,94,0.061534665525
1,3,95,0.13462010026
1,3,96,0.040486685932
1,3,97,-0.1489379108
1,3,98,0.16752398014
1,3,99,-0.35512134433
1,3,100,0.20098668337
1,3,101,-0.21653017402
1,3,102,0.30256018043
1,3,103,-0.17045772076
1,3,104,-0.17898698151
1,3,105,0.17639429867
1,3,106,-0.49630767107
1,3,107,-0.11366584152
1,3,108,0.23963679373
1,3,109,-0.24187089503
1,3,110,0.21311119199
1,3,111,-0.20007108152
1,3,112,0.16843211651
1,3,113,-0.20390027761
1,3,114,0.12426282465
1,3,115,-0.12396900356
1,3,116,0.14439229667
1,3,117,0.041708867997
1,3,118,0.059380605817
1,3,119,0.043637041003
1,3,120,-0.037265591323
1,3,121,0.023252934217
1,3,122,-0.11088264734
1,3,123,0.031956698745
1,3,124,0.0055534341373
1,3,125,-1.1445457858e-05
1,4,1,-0.71672010422
1,4,2,0.61751073599
1,4,3,-3.9105191231
1,4,4,1.6745176315
1,4,5,0.79959571362
1,4,6,-1.1299034357
1,4,7,2.4735040665
1,4,8,1.5569666624
1,4,9,2.6436047554
1,4,10,2.1488833427
1,4,11,0.097046047449
1,4,12,-0.098579131067
1,4,13,0.58151912689
1,4,14,-1.5520499945
1,4,15,2.360581398
1,4,16,2.6111397743
1,4,17,-1.7412446737
1,4,18,2.0488014221
1,4,19,1.3571645021
1,4,20,-0.26457440853
1,4,21,0.97823548317
1,4,22,1.6409294605
1,4,23,-0.90632015467
1,4,24,1.2764201164
1,4,25,2.3257465363
1,4,26,-0.84241276979
1,4,27,2.2657287121
1,4,28,-0.19700077176
1,4,29,-0.050740193576
1,4,30,1.6545431614
1,4,31,0.51409131289
1,4,32,1.4953988791
1,4,33,-0.50172042847
1,4,34,-0.69740194082
1,4,35,1.43092978
1,4,36,0.41761058569
1,4,37,0.29936611652
1,4,38,1.3130943775
1,4,39,2.1086056232
1,4,40,2.2688190937
1,4,41,1.1836944818
1,4,42,0.90226191282
1,4,43,-0.43834739923
1,4,44,0.53068000078
1,4,45,0.96511769295
1,4,46,-1.3353638649
1,4,47,-0.67506092787
1,4,48,0.37699827552
1,4,49,-1.0853868723
1,4,50,2.6695928574
1,4,51,0.38449639082
1,4,52,-0.17305846512
1,4,53,-0.49437722564
1,4,54,0.12169219553
1,4,55,0.78004723787
1,4,56,1.1546750069
1,4,57,-0.27240115404
1,4,58,-0.55647492409
1,4,59,-0.36906149983
1,4,60,-0.87737762928
1,4,61,-0.34625530243
1,4,62,-1.3541423082
1,4,63,-0.71169340611
1,4,64,1.1047811508
1,4,65,-0.77854245901
1,4,66,0.5154877305
1,4,67,0.40966212749
1,4,68,0.2087366581
1,4,69,0.21527519822
1,4,70,0.54698586464
