n,Tiempo_1,Tiempo_2
4096,0.000139,0.000334
6144,0.000154,0.000365
8192,0.000218,0.000541
12288,0.00041,0.001003
16384,0.000679,0.001454
32768,0.001168,0.002906
65536,0.002421,0.005346
98304,0.003407,0.007637
131072,0.004449,0.009861
163840,0.005369,0.011954
196608,0.006319,0.013991
262144,0.008089,0.017665
327680,0.00988,0.020935
524288,0.014525,0.02982
786432,0.019669,0.04318
917504,0.022029,0.050209
1048576,0.024706,0.057474
1310720,0.029401,0.07181
1742848,0.038447,0.094736
