n,Tiempo_1
4096,0.000104
6144,0.000155
8192,0.000207
12288,0.000311
16384,0.000414
32768,0.000824
65536,0.001561
98304,0.002387
131072,0.003097
163840,0.003841
196608,0.004639
262144,0.006108
327680,0.007483
524288,0.011861
786432,0.017795
917504,0.02074
1048576,0.023711
1310720,0.029636
1742848,0.039439
1802240,0.040772
1911728,0.043268
2097152,0.047545
3145728,0.071675
4194304,0.095764
8388608,0.192599
12582912,0.290821
16777216,0.391594
20971520,0.492325
33554432,0.7924
67108864,2.248856
134217728,4.533133
