n,Tiempo_1
4096,1e-06
6144,1e-06
8192,1e-06
12288,2e-06
16384,2e-06
32768,7e-06
65536,1.3e-05
98304,1.8e-05
131072,2.7e-05
163840,3.4e-05
196608,4.3e-05
262144,6.7e-05
327680,0.000105
524288,0.000207
786432,0.000334
917504,0.000409
1048576,0.000446
1310720,0.000581
1742848,0.000789
1802240,0.000834
1911728,0.000844
2097152,0.000973
3145728,0.001196
4194304,0.001644
8388608,0.002917
12582912,0.004344
16777216,0.005782
20971520,0.007113
33554432,0.011336
67108864,0.022574
134217728,0.045033
