n,Tiempo_1,Tiempo_2
4096,3.9e-05,5.7e-05
6144,5.8e-05,8.6e-05
8192,8.2e-05,0.000116
12288,0.000122,0.000174
16384,0.000157,0.000231
32768,0.000332,0.000509
65536,0.000644,0.001037
98304,0.00097,0.001559
131072,0.001275,0.002058
163840,0.001565,0.00252
196608,0.001906,0.003038
262144,0.002575,0.004037
327680,0.003159,0.004957
524288,0.005024,0.007989
786432,0.007673,0.012159
917504,0.008966,0.014119
1048576,0.010268,0.016232
1310720,0.012656,0.019961
1742848,0.016614,0.02662
1802240,0.017204,0.027467
1911728,0.018167,0.029067
2097152,0.019982,0.03189
3145728,0.0295,0.047757
4194304,0.039069,0.06314
8388608,0.076406,0.125272
12582912,0.11392,0.188112
16777216,0.152022,0.251792
20971520,0.189866,0.314395
33554432,0.301862,0.511668
67108864,0.609443,1.043727
134217728,1.239234,2.122738
