n,Tiempo_1 (s)
3072,1e-06
6143,2e-06
12288,2e-06
21239,3e-06
36711,8e-06
63454,1.4e-05
109679,2.5e-05
189578,5.1e-05
327680,0.000127
477707,0.000184
696423,0.000285
1015279,0.000455
1480121,0.000679
2157790,0.000771
3145728,0.001305
4158030,0.001574
5496093,0.002166
7264747,0.002906
9602559,0.003612
12692683,0.004792
16777216,0.006261
23726566,0.008819
33554431,0.012439
47453132,0.017614
67108863,0.02525
94906265,0.035107
134217728,0.049692
150654305,0.054913
169103740,0.061425
189812531,0.069742
213057362,0.078441
239148803,0.088033
268435456,0.098384
536870911,0.197761
1073741824,0.397775
