n,Tiempo_1 (s),Tiempo_2 (s)
2,0.0,0.0
4,1e-06,1e-06
8,0.0,1e-06
16,1e-06,1e-06
32,1e-06,1e-06
64,1e-06,1e-06
128,2e-06,2e-06
256,3e-06,3e-06
512,5e-06,7e-06
1024,8e-06,1.2e-05
2048,1.6e-05,2.3e-05
4096,3.2e-05,4.6e-05
8192,6.8e-05,9.4e-05
16384,0.000131,0.000191
32768,0.000296,0.000425
65536,0.000785,0.0012
131072,0.00103,0.0017
262144,0.002202,0.00333
524288,0.004229,0.006729
1048576,0.008577,0.013418
2097152,0.017007,0.026895
4194304,0.034451,0.05564
8388608,0.069111,0.109726
16777216,0.139699,0.223043
33554432,0.270222,0.437942
67108864,0.547472,0.887554
