n,Tiempo_1 (s),Tiempo_2 (s)
3072,2.5e-05,3.5e-05
6143,4.7e-05,7.1e-05
12288,0.00011,0.000142
21239,0.000176,0.000258
36711,0.000312,0.000484
63454,0.000519,0.000842
109679,0.000934,0.001482
189578,0.001543,0.002492
327680,0.002833,0.004248
477707,0.004011,0.006052
696423,0.005796,0.008972
1015279,0.008311,0.013167
1480121,0.011963,0.019242
2157790,0.017333,0.027976
3145728,0.025925,0.040795
4158030,0.033995,0.054702
5496093,0.045152,0.072775
7264747,0.059464,0.095858
9602559,0.078019,0.126074
12692683,0.102609,0.166153
16777216,0.136239,0.220339
23726566,0.196457,0.313384
33554431,0.274324,0.441466
47453132,0.38923,0.625546
67108863,0.553144,0.897669
94906265,0.781551,1.269858
134217728,1.099056,1.801674
150654305,1.228415,2.009706
169103740,1.386965,2.273604
189812531,1.553806,2.557594
213057362,1.744988,2.842794
239148803,1.956638,3.194826
268435456,2.204923,3.603488
536870911,4.39595,7.211757
1073741824,,
