n,Tiempo_1
4096,7e-06
6144,1.1e-05
8192,1.5e-05
12288,2.2e-05
16384,2.9e-05
32768,5.8e-05
65536,0.000109
98304,0.000146
131072,0.000197
163840,0.000254
196608,0.0003
262144,0.000405
327680,0.000492
524288,0.000798
786432,0.001169
917504,0.001374
1048576,0.00158
1310720,0.001974
1742848,0.002632
1802240,0.002712
1911728,0.002889
2097152,0.003165
3145728,0.004763
4194304,0.006347
8388608,0.012706
12582912,0.019062
16777216,0.025438
20971520,0.031771
33554432,0.050833
67108864,0.10171
134217728,0.203675
