n,Tiempo_1,Tiempo_2
4096,0.001187,0.002696
6144,0.001774,0.004038
8192,0.002362,0.005388
12288,0.003536,0.008073
16384,0.004709,0.010764
32768,0.009391,0.021493
65536,0.01879,0.042983
98304,0.027262,0.062439
131072,0.035179,0.080646
163840,0.043987,0.100738
196608,0.052764,0.120857
262144,0.07011,0.160698
327680,0.087799,0.199546
524288,0.137833,0.318094
786432,0.206218,0.477593
917504,0.239379,0.558638
1048576,0.275166,0.637315
1310720,0.34311,0.797885
1742848,0.45481,1.059676
1802240,0.468677,1.094746
1911728,0.497522,1.165696
2097152,0.545633,1.274083
3145728,0.819349,1.918003
4194304,1.090113,2.557047
8388608,2.177572,5.11694
12582912,3.27327,7.679862
16777216,4.346151,10.23751
20971520,5.446463,12.793659
33554432,8.699396,20.469248
67108864,17.403622,40.971272
134217728,34.774905,81.89059
