n,Tiempo_1,Tiempo_2
4096,0.00018,0.000453
6144,0.000271,0.000676
8192,0.000361,0.000905
12288,0.000542,0.001353
16384,0.00066,0.001733
32768,0.001403,0.003429
65536,0.002722,0.006794
98304,0.00404,0.010122
131072,0.005326,0.013453
163840,0.00679,0.016604
196608,0.008122,0.020035
262144,0.010748,0.026662
327680,0.013351,0.033516
524288,0.021103,0.053711
786432,0.031375,0.079656
917504,0.036711,0.093089
1048576,0.041832,0.106273
1310720,0.052296,0.134291
1742848,0.070096,0.181322
1802240,0.072889,0.188646
1911728,0.077408,0.200521
2097152,0.085311,0.220579
3145728,0.128253,0.33104
4194304,0.169554,0.434176
8388608,0.340539,0.872791
12582912,0.515196,1.315822
16777216,1.066086,2.681036
20971520,1.332375,3.34862
33554432,1.581282,4.140893
67108864,3.179688,8.377919
134217728,6.397928,16.803652
