n,Tiempo_1,Tiempo_2
8192,0.000373,0.000919
12288,0.000571,0.001376
16384,0.000731,0.001833
24576,0.001088,0.002647
32768,0.001447,0.003542
65536,0.00283,0.006941
131072,0.005627,0.013751
196608,0.008235,0.020319
262144,0.011154,0.027577
327680,0.013726,0.033974
393216,0.016571,0.040609
524288,0.022084,0.054376
655360,0.027545,0.067754
1048576,0.043846,0.108418
2097152,0.091465,0.222344
3145728,0.132869,0.326488
4194304,0.17514,0.435397
6291456,0.259977,0.657358
8388608,0.348753,0.873395
16777216,0.697782,1.757989
25165824,1.046552,2.659491
33554432,1.445935,3.685635
41943040,1.902644,4.916312
67108864,3.099134,7.898091
134217728,6.118785,15.91182
268435456,12.253519,31.807744
