n,Tiempo_1 (s),Tiempo_2 (s)
10,1e-06,1e-06
4221,4.8e-05,6.9e-05
8432,0.000198,0.000272
12643,0.000297,0.000409
16854,0.000388,0.000548
21065,0.00048,0.00069
25276,0.00059,0.000882
29487,0.000659,0.001013
33698,0.000797,0.001259
37909,0.000875,0.001425
42121,0.000971,0.001542
46332,0.001243,0.001957
50543,0.001306,0.002057
54754,0.001808,0.002703
58965,0.001422,0.002249
63176,0.001423,0.002379
67387,0.001622,0.002658
71598,0.001881,0.00295
75809,0.001775,0.002838
80021,0.001887,0.002993
84232,0.001948,0.003144
88443,0.002221,0.003495
92654,0.002061,0.003321
96865,0.002428,0.003825
101076,0.002474,0.004106
105287,0.002316,0.003762
109498,0.00245,0.004013
113709,0.002512,0.004083
117921,0.00259,0.004174
122132,0.002787,0.004533
126343,0.003128,0.004884
130554,0.003152,0.004905
134765,0.002965,0.004536
138976,0.003073,0.005054
143187,0.003065,0.004998
147398,0.003276,0.005295
151609,0.003633,0.005562
155821,0.003463,0.005611
160032,0.003904,0.006231
164243,0.004018,0.006385
168454,0.00406,0.00638
172665,0.004113,0.006618
176876,0.004302,0.006912
181087,0.004272,0.006982
185298,0.004204,0.006757
189509,0.004427,0.006968
193720,0.004207,0.006417
197932,0.004596,0.007244
202143,0.005149,0.008359
206354,0.004707,0.007514
210565,0.0048,0.007599
214776,0.002575,0.004067
218987,0.005002,0.008049
223198,0.005441,0.00839
227409,0.005207,0.008644
231620,0.004941,0.00853
235832,0.005371,0.008513
240043,0.006019,0.009629
244254,0.005602,0.009316
248465,0.005768,0.009712
252676,0.005947,0.009661
256887,0.005681,0.008825
261098,0.005722,0.009239
265309,0.006184,0.009942
269520,0.006428,0.010708
273732,0.006357,0.010577
277943,0.006374,0.010233
282154,0.006521,0.010433
286365,0.006538,0.010425
290576,0.006394,0.010562
294787,0.006604,0.010212
298998,0.006856,0.01112
303209,0.00685,0.010987
307420,0.007266,0.011685
311632,0.007364,0.011998
315843,0.004685,0.008318
320054,0.007589,0.012421
