n,Tiempo_1 (s)
2,2.8e-05
22,0.000616
42,0.0027
62,0.006819
82,0.014332
102,0.025548
123,0.043668
143,0.06295
163,0.09103
183,0.126577
203,0.168907
224,0.225488
244,0.287681
264,0.36144
284,0.459614
304,0.607598
324,0.666512
345,0.795559
365,0.98292
385,1.163262
405,1.309877
425,1.425331
446,1.439735
466,1.474948
486,1.512381
506,1.556061
526,1.584293
546,1.630073
567,1.660107
587,1.693668
607,1.742488
627,1.781671
647,1.807204
668,1.868562
688,1.926483
708,1.970568
728,2.035915
748,2.088664
768,2.206544
789,2.205188
809,2.312265
829,2.422984
849,2.450333
869,2.532375
890,2.855409
910,2.933339
930,3.052545
950,3.611708
970,3.249079
990,3.37728
1011,3.478884
1031,3.652353
1051,3.7851
1071,3.905694
1091,4.07531
1112,4.701501
1132,4.464988
1152,4.709678
1172,4.760471
1192,4.955227
1212,5.323277
1233,5.158889
1253,5.242359
1273,5.475391
1293,5.594163
1313,5.913269
1334,6.125764
1354,6.416653
1374,6.594822
1394,6.86027
1414,7.186343
1434,7.789723
1455,7.88244
1475,8.58775
1495,9.565999
1515,10.329526
1535,12.018046
1556,13.869716
1576,14.318451
1596,15.446043
1616,15.202375
1636,16.430052
1656,17.485153
1677,18.660845
1697,20.338882
1717,21.080805
1737,22.728507
1757,23.65431
1778,25.044165
1798,27.076393
1818,28.61292
1838,29.860272
1858,34.017866
1878,34.235174
1899,33.410597
1919,35.957489
1939,39.125311
1959,40.40882
1979,41.450907
2000,45.818101
