n,Tiempo_1,Tiempo_2
4096,0.000181,0.000454
6144,0.000271,0.000679
8192,0.000361,0.000906
12288,0.000542,0.001355
16384,0.000715,0.001737
32768,0.001413,0.003429
65536,0.002741,0.006794
98304,0.004042,0.010122
131072,0.005331,0.013453
163840,0.00679,0.016638
196608,0.008122,0.020035
262144,0.010748,0.026781
327680,0.013351,0.033516
524288,0.021103,0.053762
786432,0.031678,0.081177
917504,0.036711,0.094675
1048576,0.042106,0.108822
1310720,0.052737,0.136262
1742848,0.070291,0.181847
1802240,0.073273,0.189363
1911728,0.077985,0.200996
2097152,0.085417,0.220746
3145728,0.128819,0.331438
4194304,0.172433,0.444189
8388608,0.346528,0.888596
12582912,0.733405,1.916605
16777216,1.066063,2.681019
20971520,1.332306,3.34862
33554432,1.935305,5.113085
67108864,3.192188,8.414975
134217728,6.428262,16.83548
