n,Tiempo_1
2,4.05e-05
10,0.000248
32,0.0023594999999999996
55,0.0094195
77,0.0237975
100,0.050587
200,0.347405
291,1.0496345
400,1.565545
500,1.804049
600,2.158821
700,2.4765255
800,3.0274805000000002
900,3.73011
933,3.9836064999999996
1100,5.6098165
1200,6.8498705
1300,8.3069075
1400,10.040371
1550,13.1591025
1700,17.049182
1850,21.648655
2000,28.414496
2100,35.155889
2200,43.832192500000005
2300,66.138133
2400,68.333386
2500,81.6669795
2750,120.648787
3000,164.902044
