n,Tiempo_1 (s)
10,1e-06
101020,3.6e-05
202030,0.000105
303040,0.000169
404050,0.000222
505060,0.000313
606070,0.000373
707080,0.000378
808090,0.000439
909100,0.000475
1010110,0.000516
1111120,0.000589
1212130,0.000626
1313140,0.000674
1414150,0.000727
1515160,0.000807
1616170,0.0009
1717180,0.0009
1818190,0.000986
1919200,0.001016
2020210,0.001112
2121220,0.00114
2222230,0.001209
2323240,0.001269
2424250,0.001345
2525260,0.001409
2626270,0.001429
2727280,0.001529
2828290,0.001562
2929300,0.001611
3030310,0.001671
3131320,0.001776
3232330,0.001802
3333340,0.001849
3434350,0.001894
3535360,0.001948
3636370,0.002031
3737380,0.002094
3838390,0.002159
3939400,0.002222
4040410,0.002313
4141420,0.002369
4242430,0.002374
4343440,0.002528
4444450,0.00257
4545460,0.002659
4646470,0.002713
4747480,0.002705
4848490,0.002815
4949500,0.002841
5050510,0.002881
5151520,0.002918
5252530,0.003038
5353540,0.00306
5454550,0.003166
5555560,0.003156
5656570,0.003294
5757580,0.003277
5858590,0.003324
5959600,0.00345
6060610,0.003357
6161620,0.003453
6262630,0.003502
6363640,0.003507
6464650,0.003626
6565660,0.00361
6666670,0.003729
6767680,0.003839
6868690,0.003859
6969700,0.003726
7070710,0.003919
7171720,0.00396
7272730,0.00399
7373740,0.004083
7474750,0.004152
7575760,0.004157
7676770,0.004213
7777780,0.00423
7878790,0.004332
7979800,0.004306
8080810,0.00431
8181820,0.004429
8282830,0.004497
8383840,0.004562
8484850,0.004595
8585860,0.004577
8686870,0.004523
8787880,0.004738
8888890,0.004743
8989900,0.004901
9090910,0.004804
9191920,0.004942
9292930,0.004913
9393940,0.004868
9494950,0.005029
9595960,0.005103
9696970,0.005133
9797980,0.005137
9898990,0.005169
10000000,0.005226
