n,Tiempo_1 (s)
10,0.0
2013,1e-06
4017,1e-06
6021,1e-06
8025,1e-06
10029,2e-06
12033,2e-06
14037,2e-06
16041,2e-06
18045,2e-06
20049,2e-06
22053,3e-06
24057,4e-06
26061,5e-06
28065,5e-06
30069,6e-06
32073,6e-06
34077,7e-06
36081,7e-06
38085,7e-06
40089,8e-06
42093,9e-06
44097,9e-06
46101,1e-05
48105,1e-05
50109,1e-05
52113,1e-05
54117,1e-05
56121,1.1e-05
58125,1.2e-05
60129,1.2e-05
62133,1.3e-05
64137,1.3e-05
66141,1.3e-05
68145,1.4e-05
70149,1.4e-05
72153,1.5e-05
74157,1.5e-05
76161,1.5e-05
78165,1.6e-05
80169,1.7e-05
82173,1.6e-05
84177,1.8e-05
86181,1.8e-05
88185,1.7e-05
90189,1.9e-05
92193,1.8e-05
94197,1.9e-05
96201,2e-05
98205,1.9e-05
100209,2.1e-05
102213,2e-05
104217,2.1e-05
106221,2.2e-05
108225,2e-05
110229,2.2e-05
112233,2.2e-05
114237,2.3e-05
116241,2.4e-05
118245,2.3e-05
120249,2.5e-05
122253,2.5e-05
124257,2.7e-05
126261,2.5e-05
128265,2.3e-05
130269,2.5e-05
132273,2.7e-05
134277,2.8e-05
136281,2.7e-05
138285,2.9e-05
140289,2.8e-05
142293,2.7e-05
144297,2.7e-05
146301,3e-05
148305,2.9e-05
150309,3.2e-05
152313,2.7e-05
154317,3.2e-05
156321,3e-05
158325,3.2e-05
160329,2.9e-05
162333,3.4e-05
164337,3.4e-05
166341,3e-05
168344,3.6e-05
170348,3.1e-05
172352,3.7e-05
174356,3.4e-05
176360,3.4e-05
178364,3.6e-05
180368,3.6e-05
182372,4.1e-05
184376,4.4e-05
186380,3.4e-05
188384,4.1e-05
190388,3.8e-05
192392,3.6e-05
194396,4.1e-05
196400,3.9e-05
198404,4.6e-05
200408,4.5e-05
202412,4.2e-05
204416,4.6e-05
206420,5.2e-05
208424,4.1e-05
210428,4.7e-05
212432,4.9e-05
214436,4.1e-05
216440,4.4e-05
218444,5.2e-05
220448,5e-05
222452,4.3e-05
224456,4.5e-05
226460,6.3e-05
228464,5.3e-05
230468,4.7e-05
232472,5.7e-05
234476,5.9e-05
236480,5.7e-05
238484,4.9e-05
240488,6.7e-05
242492,6e-05
244496,6.7e-05
246500,5.9e-05
248504,5.3e-05
250508,6e-05
252512,6.9e-05
254516,6.4e-05
256520,7.1e-05
258524,5.6e-05
260528,6.7e-05
262532,6.3e-05
264536,7.7e-05
266540,8.3e-05
268544,7.7e-05
270548,7.1e-05
272552,5.8e-05
274556,6.4e-05
276560,7.5e-05
278564,8e-05
280568,7.2e-05
282572,7.6e-05
284576,8.3e-05
286580,8.6e-05
288584,7.6e-05
290588,7.2e-05
292592,8e-05
294596,6.9e-05
296600,7e-05
298604,7.4e-05
300608,7.6e-05
302612,8e-05
304616,9.8e-05
306620,0.0001
308624,9.8e-05
310628,8.5e-05
312632,7.4e-05
314636,0.000105
316640,0.000119
318644,0.000112
320648,9.4e-05
322652,9.3e-05
324656,9.1e-05
326660,0.00011
328664,9.7e-05
330668,7.7e-05
332672,0.000104
334675,9.2e-05
336679,0.000106
338683,9.2e-05
340687,9.9e-05
342691,9.9e-05
344695,0.000102
346699,0.000115
348703,0.000116
350707,0.000115
352711,0.000106
354715,0.00011
356719,9.7e-05
358723,0.000115
360727,0.000102
362731,0.000112
364735,0.000124
366739,0.00011
368743,0.000122
370747,0.000117
372751,0.000118
374755,0.000114
376759,0.000116
378763,0.000114
380767,0.000119
382771,0.000137
384775,0.000104
386779,0.000139
388783,0.000122
390787,0.00014
392791,0.000125
394795,0.000132
396799,0.000126
398803,0.000127
400807,0.000123
402811,0.000116
404815,0.000148
406819,0.00015
408823,0.000127
410827,0.000144
412831,0.000151
414835,0.000133
416839,0.000144
418843,0.000125
420847,0.000159
422851,0.000149
424855,0.000157
426859,0.000157
428863,0.000153
430867,0.000162
432871,0.000162
434875,0.000133
436879,0.00015
438883,0.000168
440887,0.000148
442891,0.00016
444895,0.000156
446899,0.000168
448903,0.000159
450907,0.000146
452911,0.000157
454915,0.000165
456919,0.00016
458923,0.000161
460927,0.000157
462931,0.000174
464935,0.000173
466939,0.000164
468943,0.000161
470947,0.000159
472951,0.000166
474955,0.000179
476959,0.000165
478963,0.00015
480967,0.00016
482971,0.000168
484975,0.000176
486979,0.000183
488983,0.000187
490987,0.000195
492991,0.000166
494995,0.000193
496999,0.000181
499003,0.000183
501006,0.000202
503010,0.000175
505014,0.000193
507018,0.000192
509022,0.000196
511026,0.000198
513030,0.000199
515034,0.00018
517038,0.000196
519042,0.000186
521046,0.000204
523050,0.000207
525054,0.0002
527058,0.000205
529062,0.000205
531066,0.00022
533070,0.000203
535074,0.000209
537078,0.000223
539082,0.000217
541086,0.000204
543090,0.000221
545094,0.000217
547098,0.000211
549102,0.000213
551106,0.000226
553110,0.000213
555114,0.000224
557118,0.000223
559122,0.00022
561126,0.000216
563130,0.000223
565134,0.000219
567138,0.000224
569142,0.000234
571146,0.000227
573150,0.000229
575154,0.000237
577158,0.000226
579162,0.000246
581166,0.000243
583170,0.000239
585174,0.000236
587178,0.000242
589182,0.000235
591186,0.000236
593190,0.000259
