n,Tiempo_1 (s)
10,2e-06
1020,0.008975
2030,0.034252
3040,0.075911
4050,0.134917
5060,0.20955
6070,0.303459
7080,0.414059
8090,0.541157
9100,0.684861
10110,0.845899
11120,1.024227
12130,1.220127
13140,1.430683
14150,1.66927
15160,1.90816
16170,2.169104
17180,2.44606
18190,2.744975
19200,3.057148
20210,3.388349
21220,3.736844
22230,4.103786
23240,4.656363
24250,5.067716
25260,5.500144
26270,5.943219
27280,6.427579
28290,6.911362
29300,7.387932
30310,7.925057
31320,8.451698
32330,9.008078
33340,9.592614
34350,10.177365
35360,10.776949
36370,11.410023
37380,12.051335
38390,12.689905
39400,13.374729
40410,14.093775
41420,14.808435
42430,15.539296
43440,16.303786
44450,17.027959
45460,17.806581
46470,18.627355
47480,19.442983
48490,20.280655
49500,21.130347
50510,22.002906
51520,24.220958
52530,24.340637
53540,24.742262
54550,25.656512
55560,26.624342
56570,27.640252
57580,28.627889
58590,29.598479
59600,30.674174
60610,31.675325
61620,32.718485
62630,33.821349
63640,34.936558
64650,36.10377
65660,37.177314
66670,38.344603
67680,39.553953
68690,49.108735
69700,48.815689
70710,50.297531
71720,51.798926
72730,53.107271
73740,59.516856
74750,56.481496
75760,57.888305
76770,61.200031
77780,63.717742
78790,62.767248
79800,66.279687
80810,60.162797
81820,64.811158
82830,87.478748
83840,90.613622
84850,78.099949
85860,69.895263
86870,71.857048
87880,73.379228
88890,72.750696
89900,75.04761
90910,80.105494
91920,85.425731
92930,80.311806
93940,82.004159
94950,87.984815
95960,87.113674
96970,93.975702
97980,92.236318
98990,92.349451
100000,93.534391
