n,Tiempo_1 (s),Tiempo_2 (s)
10,1e-06,1e-06
5305,6.9e-05,0.000106
10601,0.000233,0.000324
15897,0.000372,0.000514
21192,0.000509,0.000728
26488,0.000597,0.000913
31784,0.000718,0.001085
37080,0.000922,0.001503
42375,0.001186,0.001781
47671,0.001212,0.001913
52967,0.001249,0.002009
58263,0.001371,0.002202
63558,0.001794,0.002959
68854,0.001698,0.002685
74150,0.001802,0.002722
79446,0.001371,0.001843
84741,0.00191,0.003052
90037,0.002015,0.003308
95333,0.001416,0.002396
100629,0.002206,0.003615
105924,0.002451,0.003923
111220,0.002668,0.004139
116516,0.002772,0.00446
121811,0.002756,0.004445
127107,0.002832,0.004573
132403,0.003042,0.004802
137699,0.003588,0.00563
142994,0.003054,0.004597
148290,0.003594,0.005753
153586,0.003435,0.005654
158882,0.003607,0.005696
164177,0.00385,0.006296
169473,0.00389,0.00624
174769,0.004262,0.007079
180065,0.004124,0.006531
185360,0.004766,0.007726
190656,0.004489,0.006995
195952,0.004646,0.007431
201248,0.004934,0.008015
206543,0.004908,0.0083
211839,0.0049,0.007991
217135,0.005165,0.008328
222430,0.00512,0.008122
227726,0.005341,0.008732
233022,0.005448,0.008795
238318,0.005465,0.008769
243613,0.005608,0.009178
248909,0.005752,0.009142
254205,0.00583,0.00933
259501,0.006059,0.009714
264796,0.006358,0.010211
270092,0.006429,0.010197
275388,0.006693,0.010595
280684,0.006628,0.010972
285979,0.006435,0.010209
291275,0.006667,0.011047
296571,0.007052,0.011551
301867,0.007205,0.011636
307162,0.007161,0.011286
312458,0.007252,0.01179
317754,0.007263,0.01168
323049,0.004122,0.006321
328345,0.007815,0.01277
333641,0.00802,0.013044
338937,0.00819,0.01319
344232,0.007586,0.012786
349528,0.00808,0.013711
354824,0.008634,0.013695
360120,0.008473,0.013025
365415,0.008438,0.013592
370711,0.008484,0.013646
376007,0.006175,0.011104
381303,0.008867,0.014341
386598,0.009039,0.014091
391894,0.009182,0.014304
397190,0.009623,0.014662
402486,0.008229,0.014712
407781,0.009374,0.015227
413077,0.007375,0.012686
418373,0.007443,0.010678
423668,0.008115,0.013252
428964,0.006537,0.009461
434260,0.009904,0.014229
439556,0.011822,0.018664
444851,0.008245,0.014289
450147,0.008383,0.014841
455443,0.00953,0.015395
460739,0.010429,0.016676
466034,0.010794,0.017041
471330,0.010786,0.016555
476626,0.008034,0.01449
481922,0.011008,0.016757
487217,0.010912,0.017187
492513,0.011434,0.017553
497809,0.011451,0.018077
503105,0.011054,0.017627
508400,0.010816,0.01658
513696,0.011829,0.018306
518992,0.012464,0.017959
524288,0.01143,0.017836
