n,Tiempo_1,Tiempo_2
4096,3.3e-05,4.7e-05
6144,4.9e-05,7.1e-05
8192,6.9e-05,9.4e-05
12288,0.000102,0.000142
16384,0.00013,0.000188
32768,0.000294,0.000425
65536,0.000549,0.000863
98304,0.000844,0.001346
131072,0.001096,0.001747
163840,0.001373,0.00213
196608,0.001658,0.002653
262144,0.002166,0.003395
327680,0.002838,0.004225
524288,0.004405,0.00661
1048576,0.008377,0.013453
1572864,0.012652,0.020206
2097152,0.016665,0.027049
3145728,0.025197,0.040851
4194304,0.033874,0.055648
8388608,0.071982,0.118121
12582912,0.106733,0.175218
16777216,0.13906,0.228768
20971520,0.174234,0.284214
33554432,0.278949,0.459248
67108864,0.747476,1.313165
134217728,1.50163,2.463221
