n,Speedup_1
4096,0.014925373134328358
6144,0.015037593984962405
8192,0.011235955056179775
12288,0.0085995085995086
16384,0.00639269406392694
32768,0.006573181419807186
65536,0.00821256038647343
98304,0.007956661587946504
131072,0.007575757575757576
163840,0.007809110629067245
196608,0.007740371164785974
262144,0.0078605858361142
327680,0.008244178728760227
524288,0.009454101860323269
786432,0.009349389035178554
917504,0.010591931887289683
1048576,0.01127994160971402
1310720,0.012131838549138373
1742848,0.012383652508826361
