n,Speedup_1,Speedup_2
4096,0.024154589371980676,0.022835583796664023
6144,0.026267562614538793,0.02298087141339001
8192,0.023144605967865342,0.02448268797377587
12288,0.029818181818181817,0.03066256879422486
16384,0.03310162197947699,0.037615449202350965
32768,0.04412378510524119,0.050345476368118855
65536,0.050940464778023865,0.05742955126925659
98304,0.05203154875717017,0.05506613364919554
131072,0.0544381161422165,0.05280537236460101
163840,0.055038076656806594,0.05177921402570388
196608,0.05453739284658587,0.05067134262328601
262144,0.054096982154536115,0.048204989835176335
327680,0.05389738425475379,0.04637749068433854
524288,0.05217627708452274,0.042030166193380195
786432,0.04636414623327969,0.038248155720869384
917504,0.04350389356537091,0.03723351228777682
1048576,0.0418848601123518,0.03699634210716021
1310720,0.039950523749043,0.03681635182323238
1742848,0.03877569727423481,0.036617829830591975
