n,Speedup_1,Speedup_2
4096,0.43165467625899284,0.34431137724550903
6144,0.5584415584415584,0.4739726027397261
8192,0.555045871559633,0.4417744916820702
12288,0.5,0.42771684945164506
16384,0.44182621502209124,0.4621733149931224
32768,0.6335616438356164,0.5340674466620784
65536,0.6365138372573317,0.5920314253647586
98304,0.6389785735250955,0.5843917768757365
131072,0.6466621712744437,0.5773248149274921
163840,0.6515179735518719,0.583068428977748
196608,0.6423484728596297,0.5845186191122864
262144,0.6442081839535171,0.5865836399660345
327680,0.6446356275303643,0.5957009792213995
524288,0.6606540447504303,0.605533199195171
786432,0.6430423509075195,0.5714219546086151
917504,0.62640156157792,0.5579079447907745
1048576,0.6141423136080305,0.5536242474858197
1310720,0.6140947586816775,0.5510235343266955
1742848,0.6051447447135017,0.5523349096436413
