n,Speedup_1
2,0.5555555555555556
10,0.1881720430107527
55,0.206880301602262
100,0.2255788834132181
200,0.22391670744304898
291,0.1975782617960144
400,0.19578237812372867
500,0.19650249057236738
600,0.22362877810883006
700,0.3100396614913953
800,0.26557105898312205
900,0.26322593981780573
933,0.2709847195366462
1100,0.28691801408436685
1200,0.33943352008837024
1300,0.3686270801105038
1400,0.39870806139920767
1550,0.4030675274656582
1700,0.4387646900121514
1850,0.490323953641457
2000,0.5010133970316003
