n,Speedup_1
2,0.7142857142857143
10,0.2845528455284552
55,0.9662509170946442
100,1.2741658722592946
200,1.329491897475628
291,1.28988242125127
400,1.404639857906299
500,1.227599128010329
600,1.3127097612179632
700,1.3038986547787361
800,1.3868285885080929
900,1.3709529256619397
933,1.3980173790166637
1100,1.4139585013296174
1200,1.5349073122673207
1300,1.604370276569698
1400,1.2051524946808083
1550,1.5787789429879155
1700,1.5066358077920183
1850,1.2279488044957885
2000,1.5128697437296048
