n,Speedup_1
2,0.7692307692307694
10,0.282258064516129
55,0.9571220930232558
100,1.2456663560111836
200,1.338174610910745
291,1.3064284926673284
400,1.4158238582825553
500,1.2211978993366204
600,1.3156024925970686
700,1.3129534435625794
800,1.3822216129318405
900,1.368626217558351
933,1.3873300571915999
1100,1.3838920074227274
1200,1.5425553592927854
1300,1.5954207890211514
1400,1.2109154065437906
1550,1.5726067708139668
1700,1.5445186492315581
1850,1.2423123167557737
2000,1.5122798481495778
