n,Speedup_1
2,0.5499999999999999
10,0.32653061224489793
55,0.12652395123356053
100,0.14770029508996915
200,0.17756611550505774
291,0.15622115163759948
400,0.15387591494497757
500,0.15456807291121938
600,0.1762853945828671
700,0.24223711267694384
800,0.20965206866424546
900,0.20701799681555075
933,0.21112321547476207
1100,0.2197553363598734
1200,0.26355902801882586
1300,0.28758570292139635
1400,0.30920987446086745
1550,0.32072609959116816
1700,0.35284160494431277
1850,0.38020139697982486
2000,0.3981860625855064
