n,Speedup_1
2,0.7857142857142857
10,1.0
55,2.4727954971857407
100,2.9044502617801045
200,2.9606054022738797
291,2.5938737338159203
400,3.0575497087312495
500,2.284760569268556
600,2.3167970723274327
700,1.8658365088570354
800,2.339349126974978
900,2.200560551006957
933,2.2272067896850936
1100,2.1399248798639148
1200,2.387099052873545
1300,2.4392541414800437
1400,1.5593291774323643
1550,2.264240108437865
1700,2.278005152020774
1850,1.5321204130541877
2000,2.0698558586215134
