n,Speedup_1
2,0.7333333333333333
10,1.032258064516129
55,1.3815513626834381
100,1.5040668775417982
200,2.0135441292356187
291,1.857078260869565
400,2.07125549051132
500,1.6553970908402489
600,1.726877635718589
700,1.5551030907518084
800,1.812072523815025
900,1.7304975768957778
933,1.7528521850300685
1100,1.7425925222566605
1200,1.9498013045580274
1300,2.0071561998967047
1400,1.3881535559643872
1550,1.9277508798969873
1700,1.8473284584478387
1850,1.4073355572708357
2000,1.799909883916222
