n,Speedup_1
4096,0.009615384615384616
6144,0.0064516129032258064
8192,0.00966183574879227
12288,0.006430868167202571
16384,0.004830917874396135
32768,0.00849514563106796
65536,0.008327994875080076
98304,0.007959782153330541
131072,0.00871811430416532
163840,0.008851861494402499
196608,0.0099159301573615
262144,0.01096922069417158
327680,0.01576907657356675
524288,0.0187168029677093
786432,0.018937903905591462
917504,0.019720347155255544
1048576,0.01927375479735144
1310720,0.019604535024969633
1742848,0.02000557823474226
1802240,0.020455214362797996
1911728,0.019506332624572433
2097152,0.01972867809443685
3145728,0.0179839553540286
4194304,0.017167202706653856
8388608,0.015763321720258155
12582912,0.015081441849109934
16777216,0.01476529262450395
20971520,0.01454526989285533
33554432,0.014321049974760223
67108864,0.0100437733674366
134217728,0.009934189003499344
