n,Speedup_1
4096,0.125
6144,0.09090909090909091
8192,0.13333333333333333
12288,0.09090909090909091
16384,0.06896551724137931
32768,0.12068965517241378
65536,0.11926605504587154
98304,0.13013698630136988
131072,0.13705583756345177
163840,0.12546125461254615
196608,0.15181518151815182
262144,0.1654320987654321
327680,0.23366336633663365
524288,0.2781954887218045
786432,0.2870528109028961
917504,0.29767103347889373
1048576,0.2892405063291139
1310720,0.29432624113475175
1742848,0.29977203647416417
1802240,0.3068432671081678
1911728,0.29214260989961927
2097152,0.2959924266330073
3145728,0.2706277556162083
4194304,0.2589384154985037
8388608,0.23894223201637022
12582912,0.2300912810827825
16777216,0.22729774353329665
20971520,0.22534457800994398
33554432,0.22320129027182253
67108864,0.22201580561453174
134217728,0.2211022462256045
