n,Speedup_1
4096,0.5292300591169735
6144,0.5246772309732
8192,0.5220637942076425
12288,0.5200070971621209
16384,0.5204298375611285
32768,0.5203000963586655
65536,0.5199068234726212
98304,0.5198424606719386
131072,0.5198265355191865
163840,0.519823554067134
196608,0.519900430526644
262144,0.519892071351447
327680,0.5199907593282589
524288,0.5202084951944831
786432,0.5201397826554592
917504,0.5200612136912619
1048576,0.5201821931870433
1310720,0.5202185857941645
1742848,0.5206041316997934
