n,Speedup_1,Speedup_2
4096,0.03285593934288122,0.021142433234421366
6144,0.03269447576099211,0.02129767211490837
8192,0.03471634208298053,0.02152932442464736
12288,0.03450226244343891,0.021553325901151988
16384,0.03334041197706519,0.02146042363433668
32768,0.03567245234799276,0.023682129065277065
65536,0.03480574773815859,0.024125817183537675
98304,0.035580661726945934,0.02496836912826919
131072,0.03624321328065039,0.025518934603080128
163840,0.03571509764248528,0.025084873632591476
196608,0.03612311424456068,0.025153694035099334
262144,0.036727998858935955,0.025121656772330705
327680,0.03597990865499607,0.024841389955198297
524288,0.036493437710852984,0.025115217514319665
786432,0.03751369909513233,0.02545891585513188
917504,0.03769754239093655,0.02540822500438567
1048576,0.0373156567308461,0.025469351890352494
1310720,0.037384512255544865,0.02512016142677203
1742848,0.03674501440161826,0.025120886006666187
1802240,0.03670758326096651,0.025089838190776672
1911728,0.036514968182311536,0.024935317612825296
2097152,0.03662168527196852,0.02502976650657767
3145728,0.03600419357319042,0.024899335402499372
4194304,0.03583940380492664,0.024692545737329038
8388608,0.03508770318501524,0.02448181921226358
12582912,0.03485749724281834,0.024494190129978898
16777216,0.03497853618063431,0.024595043130605003
20971520,0.03486042225936356,0.024661123139205134
33554432,0.034699190610474565,0.024996912441531804
67108864,0.03501817035557311,0.02547460571885589
134217728,0.035635870177071656,0.02592163519642489
