n,Speedup_1
2,0.6379310344827586
10,0.3655394524959742
32,0.17308792675948884
55,0.1416645260724377
77,0.1358178635132457
100,0.13476888009398574
200,0.23946880847736124
291,0.4217110849966976
400,0.5204878122177701
500,0.38354899815535426
600,0.30446609114481515
700,0.25422637092321526
800,0.20341131394677486
900,0.17335077594174575
933,0.16740860066187208
1100,0.1424429720474355
1200,0.13252405318922283
1300,0.12641042081319334
1400,0.12742958971026586
1550,0.16705316436155848
1700,0.21712680353535185
1850,0.26408201266663706
2000,0.30507495988294386
2100,0.3148897133321142
2200,0.3326749751536717
2300,0.34955149574938627
2400,0.3514583405757495
2500,0.3561812293223541
2750,0.38192009040697383
3000,0.3914879214503474
