n,Speedup_1
2,0.9135802469135802
10,0.9153225806451613
32,0.7692307692307694
55,0.7025850629014277
77,0.6911230171236474
100,0.6825666673255975
200,0.6707876973561117
291,0.6557415938595769
400,0.9501234394412169
500,0.9166225529350921
600,0.8819466736704895
700,0.9262743307105055
800,0.8583516888052622
900,0.8149740892359744
933,0.8095510939647278
1100,0.7780521876250319
1200,0.7596086670543626
1300,0.7565659061449763
1400,0.7785354744361538
1550,1.0621770747663073
1700,1.385645129484805
1850,1.5293751505578523
2000,1.7194600601045325
2100,1.6781567947264822
2200,1.6349067868325315
2300,1.5043310793184925
2400,1.4798000789833536
2500,1.4317621358825938
2750,1.4084446286227477
3000,1.3660332857972337
