n,Speedup_1
2,0.6379310344827586
10,1.25
32,1.36535552193646
55,0.6257410594759992
77,0.5956987674188947
100,0.6449622518408052
200,0.8119029945670545
291,0.9533693543917984
400,1.752617711590989
500,1.5662889078630753
600,1.523535421335123
700,1.448029183158296
800,1.2736888925545828
900,1.157410128579173
933,1.1305146200103897
1100,1.0258646427061868
1200,0.9721716195977869
1300,0.9514258847773046
1400,0.9699984207535368
1550,1.32189227138875
1700,1.591859523518558
1850,1.8766631949562895
2000,2.0591160771158368
2100,2.044313050328663
2200,2.0123663357937858
2300,1.8134733151833407
2400,1.8290608762284115
2500,1.7912411595430604
2750,1.7645943754913478
3000,1.717567083219275
